,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,
,Escherichia coli SE11,0,0,NC_011415,YP_002291877.1,TC-Lam,TC-Lam,0.52,18.2,82,190,0,1,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002292718.1,U_TC_Fam5,U_TC_Fam5,0,50.5,19,124,1,1,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002292718.1,TC-T1,TC-T1,7.90E-40,144.1,1,126,1,1,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002292718.1,TC-T1,TC-T1,7.90E-40,144.1,1,126,1,0,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002292718.1,TC-HK97,TC-HK97,0.16,20.6,4,124,0,1,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002292929.1,TC-Lam,TC-Lam,1,17.2,1,140,1,0,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002292929.1,TC-Lam,TC-Lam,1,17.2,82,190,0,1,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002293137.1,TC-Mu,TC-Mu,5.40E-18,73.6,6,97,1,0,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002293137.1,TC-Mu,TC-Mu,5.40E-18,73.6,116,210,0,1,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002293333.1,TC-Lam,TC-Lam,0.27,19.2,1,144,1,0,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002293333.1,TC-Lam,TC-Lam,0.27,19.2,84,189,0,1,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002293493.1,TC-BCereusAH820,TC-BCereusAH820,0.12,20.5,8,94,1,1,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002293493.1,TC-BCereusAH820,TC-BCereusAH820,0.12,20.5,127,194,1,1,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002293493.1,TC-BCereusAH820,TC-BCereusAH820,0.12,20.5,8,94,1,0,1,
,Escherichia coli SE11,0,0,NC_011415,YP_002293493.1,TC-BCereusAH820,TC-BCereusAH820,0.12,20.5,127,194,0,0,0,
,Escherichia coli SE11,0,0,NC_011415,YP_002293861.1,TC-Mu,TC-Mu,9.00E-39,141,9,151,0,0,0,
,Rhodospirillum centenum SW,0,0,NC_011420,YP_002296338.1,TC-TPSY,TC-TPSY,0,276.4,1,203,0,0,0,
,Rhodospirillum centenum SW,0,0,NC_011420,YP_002297349.1,TC-Mu,TC-Mu,6.30E-18,73.4,15,146,0,1,1,
,Anoxybacillus flavithermus WK1,0,0,NC_011567,YP_002314822.1,TC-BCereusAH820,TC-BCereusAH820,7.1,14.8,15,72,1,1,1,
,Anoxybacillus flavithermus WK1,0,0,NC_011567,YP_002314822.1,TC-BCereusAH820,TC-BCereusAH820,7.1,14.8,71,109,1,1,1,
,Anoxybacillus flavithermus WK1,0,0,NC_011567,YP_002314822.1,TC-BCereusAH820,TC-BCereusAH820,7.1,14.8,15,72,1,0,1,
,Anoxybacillus flavithermus WK1,0,0,NC_011567,YP_002314822.1,TC-BCereusAH820,TC-BCereusAH820,7.1,14.8,71,109,0,1,1,
,Anoxybacillus flavithermus WK1,0,0,NC_011567,YP_002315034.1,TC-JCL103,TC-JCL103,0,59.5,11,138,1,0,1,
,Anoxybacillus flavithermus WK1,0,0,NC_011567,YP_002315034.1,TC-HK97,TC-HK97,0.00000000072,48,24,128,0,1,1,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320032.1,U_TC_Fam5,U_TC_Fam5,0.18,20,10,70,1,1,1,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320032.1,U_TC_Fam5,U_TC_Fam5,0.18,20,42,121,1,1,1,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320032.1,TC-T1,TC-T1,0,185.9,1,122,1,1,1,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320032.1,TC-T1,TC-T1,0,185.9,1,122,1,0,1,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320032.1,TC-HK97,TC-HK97,0.11,21.2,5,114,0,1,1,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320534.1,U_TC_Fam5,U_TC_Fam5,0.0011,27.1,10,123,1,1,1,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320534.1,TC-T1,TC-T1,0,166.6,1,130,1,0,1,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320534.1,TC-T1,TC-T1,0,166.6,1,130,0,1,1,
,Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326437.1,U_TC_Fam5,U_TC_Fam5,0.00024,29.3,10,58,1,1,1,
,Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326437.1,U_TC_Fam5,U_TC_Fam5,0.00024,29.3,41,121,1,1,1,
,Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326437.1,TC-T1,TC-T1,0,183.6,1,122,1,1,1,
,Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326437.1,TC-T1,TC-T1,0,183.6,1,122,1,1,1,
,Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326437.1,TC-HK97,TC-HK97,2.7,16.7,6,69,1,0,1,
,Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326437.1,TC-HK97,TC-HK97,2.7,16.7,61,114,0,1,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328273.1,TC-Lam,TC-Lam,0.076,21,1,80,1,0,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328273.1,TC-Lam,TC-Lam,0.076,21,75,176,0,1,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328589.1,TC-Lam,TC-Lam,0.53,18.2,1,111,1,0,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328589.1,TC-Lam,TC-Lam,0.53,18.2,127,188,0,1,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328966.1,TC-HK97,TC-HK97,5.20E-18,74.2,12,132,1,0,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328966.1,TC-HK97,TC-HK97,2,17.1,6,110,0,1,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002329343.1,TC-Mu,TC-Mu,8.50E-18,73,7,97,1,0,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002329343.1,TC-Mu,TC-Mu,8.50E-18,73,116,210,0,1,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002330160.1,TC-Mu,TC-Mu,6.80E-16,66.8,140,179,1,0,1,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002330160.1,TC-Mu,TC-Mu,6.80E-16,66.8,10,139,0,0,0,
,Pseudomonas phage MP38,Pseudomonas aeruginosa PA14,neg,NC_011611,YP_002332343.1,TC-Mu,TC-Mu,0,58.7,9,152,0,0,0,
,Staphylococcus phage phiSauS-IPLA35,Staphylococcus aureus,pos,NC_011612,YP_002332407.1,TC-ListeriaB025,TC-ListeriaB025,0.00E+00,215.6,1,133,0,0,0,
,Pseudomonas phage MP29,Pseudomonas aeruginosa PA14,neg,NC_011613,YP_002332453.1,TC-Mu,TC-Mu,0,54.3,11,143,0,0,0,
,Staphylococcus phage phiSauS-IPLA88,Staphylococcus aureus,pos,NC_011614,YP_002332520.1,TC-HK97,TC-HK97,0,52.1,7,108,0,0,0,
,Bacillus phage TP21-L,0,pos,NC_011645,YP_002333571.2,TC-HK97,TC-HK97,0.00047,29.3,3,126,0,0,0,
,Thermosipho africanus TCF52B,0,0,NC_011653,YP_002334763.1,TC-HK97,TC-HK97,5.6,16.2,7,108,0,1,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002336668.1,TC-JCL103,TC-JCL103,1.30E-36,133.9,1,113,1,1,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002336668.1,TC-T1,TC-T1,5.7,14.9,2,102,1,0,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002336668.1,TC-T1,TC-T1,5.7,14.9,2,102,0,1,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002338196.1,TC-HK97,TC-HK97,0.0000023,36.7,10,141,1,0,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002338196.1,TC-ListeriaB025,TC-ListeriaB025,0.68,18.1,2,142,0,0,0,
,Bacillus cereus AH187,0,0,NC_011658,YP_002339936.1,TC-HK97,TC-HK97,0.00008,31.8,10,132,0,1,1,
,Neisseria meningitidis Z2491,0,0,NC_003116,YP_002343132.1,TC-HK97,TC-HK97,0.097,21.9,9,149,1,1,1,
,Neisseria meningitidis Z2491,0,0,NC_003116,YP_002343132.1,TC-Mu,TC-Mu,0,61.3,6,126,1,1,1,
,Neisseria meningitidis Z2491,0,0,NC_003116,YP_002343132.1,TC-Mu,TC-Mu,0,61.3,114,159,1,0,1,
,Neisseria meningitidis Z2491,0,0,NC_003116,YP_002343132.1,TC-Adjutor,TC-Adjutor,0.0028,25.8,9,160,0,1,1,
,Yersinia pestis CO92,0,0,NC_003143,YP_002345800.1,TC-HK97,TC-HK97,4.4,16,2,77,1,0,1,
,Yersinia pestis CO92,0,0,NC_003143,YP_002345800.1,TC-HK97,TC-HK97,4.4,16,137,276,0,0,0,
,Yersinia pestis CO92,0,0,NC_003143,YP_002346176.1,TC-Mu,TC-Mu,0.52,18.5,32,111,0,1,1,
,Yersinia pestis CO92,0,0,NC_003143,YP_002347092.1,U_TC_Fam5,U_TC_Fam5,0,437,1,194,1,1,1,
,Yersinia pestis CO92,0,0,NC_003143,YP_002347092.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis CO92,0,0,NC_003143,YP_002347092.1,TC-T1,TC-T1,1.60E-34,126.9,1,194,1,1,1,
,Yersinia pestis CO92,0,0,NC_003143,YP_002347092.1,TC-Phi297,TC-Phi297,0,204.1,4,184,1,0,1,
,Yersinia pestis CO92,0,0,NC_003143,YP_002347092.1,TC-HK97,TC-HK97,1.9,17.2,64,187,0,0,0,
,Listeria monocytogenes HCC23,0,0,NC_011660,YP_002350328.1,TC-ListeriaB025,TC-ListeriaB025,0.00E+00,195.1,1,133,0,1,1,
,Listeria monocytogenes HCC23,0,0,NC_011660,YP_002351513.1,TC-BCereusAH820,TC-BCereusAH820,0,284.8,1,141,1,0,1,
,Listeria monocytogenes HCC23,0,0,NC_011660,YP_002351513.1,TC-BCereusAH820,TC-BCereusAH820,0,284.8,1,141,0,0,0,
,Listeria monocytogenes HCC23,0,0,NC_011660,YP_002351932.1,TC-BCJA1C,TC-BCJA1C,0,63.3,1,109,0,0,0,
,Shewanella baltica OS223,0,0,NC_011663,YP_002356727.1,TC-ShewanellaB,TC-ShewanellaB,0,401.2,1,185,0,0,0,
,Shewanella baltica OS223,0,0,NC_011663,YP_002358502.1,TC-HK97,TC-HK97,0,62.6,13,139,0,1,1,
,Methylocella silvestris BL2,0,0,NC_011666,YP_002363320.1,TC-HK97,TC-HK97,0.048,22.8,5,135,1,0,1,
,Methylocella silvestris BL2,0,0,NC_011666,YP_002363320.1,TC-Adjutor,TC-Adjutor,1.3,17.2,11,136,0,0,0,
,Pseudomonas phage 14-1,0,neg,NC_011703,YP_002364337.1,TC-HK97,TC-HK97,4.7,16.4,13,121,0,0,0,
,Pseudomonas phage 14-1,0,neg,NC_011703,YP_002364385.1,TC-HK97,TC-HK97,0.59,19.3,63,189,0,0,0,
,Bacillus cereus B4264,0,0,NC_011725,YP_002367336.1,TC-HK97,TC-HK97,2.50E-16,68.7,11,130,0,0,0,
,Escherichia fergusonii ATCC 35469,0,0,NC_011740,YP_002381795.1,TC-Sfv,TC-Sfv,0,219.5,5,168,0,1,1,
,Escherichia fergusonii ATCC 35469,0,0,NC_011740,YP_002385451.1,TC-Lam,TC-Lam,0.54,18.2,1,109,1,0,1,
,Escherichia fergusonii ATCC 35469,0,0,NC_011740,YP_002385451.1,TC-Lam,TC-Lam,0.54,18.2,159,188,0,1,1,
,Escherichia coli IAI1,0,0,NC_011741,YP_002386252.1,TC-Lam,TC-Lam,0.17,19.8,1,140,1,0,1,
,Escherichia coli IAI1,0,0,NC_011741,YP_002386252.1,TC-Lam,TC-Lam,0.17,19.8,83,190,0,1,1,
,Escherichia coli IAI1,0,0,NC_011741,YP_002387012.1,TC-Lam,TC-Lam,0.17,19.8,1,140,1,0,1,
,Escherichia coli IAI1,0,0,NC_011741,YP_002387012.1,TC-Lam,TC-Lam,0.17,19.8,83,190,0,1,1,
,Escherichia coli S88,0,0,NC_011742,YP_002390399.1,TC-Lam,TC-Lam,2.8,15.8,21,161,1,0,1,
,Escherichia coli S88,0,0,NC_011742,YP_002390399.1,TC-Lam,TC-Lam,2.8,15.8,104,212,0,1,1,
,Escherichia coli S88,0,0,NC_011742,YP_002390978.1,TC-Lam,TC-Lam,2.8,15.8,21,161,1,0,1,
,Escherichia coli S88,0,0,NC_011742,YP_002390978.1,TC-Lam,TC-Lam,2.8,15.8,104,212,0,1,1,
,Escherichia coli S88,0,0,NC_011742,YP_002391137.1,TC-Lam,TC-Lam,0.029,22.3,1,81,1,0,1,
,Escherichia coli S88,0,0,NC_011742,YP_002391137.1,TC-Lam,TC-Lam,0.029,22.3,74,176,0,0,0,
,Escherichia coli S88,0,0,NC_011742,YP_002391896.1,TC-Mu,TC-Mu,1.90E-31,117.2,2,149,0,0,0,
,Escherichia coli S88,0,0,NC_011742,YP_002392468.1,TC-Mu,TC-Mu,1.70E-31,117.4,2,146,0,0,0,
,Escherichia coli S88,0,0,NC_011742,YP_002392521.1,TC-Sfv,TC-Sfv,0,219.5,5,168,0,0,0,
,Escherichia coli S88,0,0,NC_011742,YP_002394499.1,TC-Lam,TC-Lam,1.6,16.6,1,116,0,1,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002396907.1,TC-Mu,TC-Mu,3.50E-21,83.9,39,127,1,0,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002396907.1,TC-Mu,TC-Mu,3.50E-21,83.9,134,244,0,1,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002397066.1,TC-Lam,TC-Lam,0.074,21,1,81,1,0,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002397066.1,TC-Lam,TC-Lam,0.074,21,74,176,0,1,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002397447.1,TC-HK97,TC-HK97,3.30E-18,74.8,19,139,1,0,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002397447.1,TC-HK97,TC-HK97,0.13,20.9,1,116,0,1,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002397667.1,TC-HK97,TC-HK97,2.90E-18,75,12,132,1,0,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002397667.1,TC-HK97,TC-HK97,0.15,20.8,6,99,0,1,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002398036.1,TC-Lam,TC-Lam,0.67,17.9,1,155,1,0,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002398036.1,TC-Lam,TC-Lam,0.67,17.9,75,190,0,1,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002398424.1,TC-HK97,TC-HK97,2.90E-18,75,12,132,1,0,1,
,Escherichia coli ED1a,0,0,NC_011745,YP_002398424.1,TC-HK97,TC-HK97,0.15,20.8,6,99,0,0,0,
,Escherichia coli ED1a,0,0,NC_011745,YP_002398965.1,TC-Mu,TC-Mu,9.60E-33,121.4,2,147,0,1,1,
,Escherichia coli 55989,0,0,NC_011748,YP_002401896.1,TC-Lam,TC-Lam,0.52,18.2,1,140,1,0,1,
,Escherichia coli 55989,0,0,NC_011748,YP_002401896.1,TC-Lam,TC-Lam,0.52,18.2,82,190,0,0,0,
,Escherichia coli 55989,0,0,NC_011748,YP_002402158.1,TC-Lam,TC-Lam,0.00068,27.7,1,141,0,1,1,
,Escherichia coli 55989,0,0,NC_011748,YP_002402479.1,TC-Lam,TC-Lam,0.16,19.9,1,150,1,0,1,
,Escherichia coli 55989,0,0,NC_011748,YP_002402479.1,TC-Lam,TC-Lam,0.16,19.9,75,190,0,1,1,
,Escherichia coli 55989,0,0,NC_011748,YP_002402771.1,TC-Lam,TC-Lam,0.43,18.5,1,110,1,0,1,
,Escherichia coli 55989,0,0,NC_011748,YP_002402771.1,TC-Lam,TC-Lam,0.43,18.5,159,188,0,1,1,
,Escherichia coli 55989,0,0,NC_011748,YP_002403170.1,TC-Mu,TC-Mu,5.70E-17,70.3,6,97,1,0,1,
,Escherichia coli 55989,0,0,NC_011748,YP_002403170.1,TC-Mu,TC-Mu,5.70E-17,70.3,116,210,0,1,1,
,Escherichia coli IAI39,0,0,NC_011750,YP_002406549.1,TC-Lam,TC-Lam,0.1,20.5,1,140,1,0,1,
,Escherichia coli IAI39,0,0,NC_011750,YP_002406549.1,TC-Lam,TC-Lam,0.1,20.5,82,189,0,0,0,
,Escherichia coli IAI39,0,0,NC_011750,YP_002407787.1,TC-Mu,TC-Mu,4.50E-32,119.3,2,147,0,1,1,
,Escherichia coli IAI39,0,0,NC_011750,YP_002407844.1,TC-Lam,TC-Lam,0.043,21.8,1,81,1,0,1,
,Escherichia coli IAI39,0,0,NC_011750,YP_002407844.1,TC-Lam,TC-Lam,0.043,21.8,74,176,0,0,0,
,Escherichia coli IAI39,0,0,NC_011750,YP_002407928.1,TC-Mu,TC-Mu,0,58.5,12,139,0,1,1,
,Escherichia coli IAI39,0,0,NC_011750,YP_002410732.1,TC-Lam,TC-Lam,0.43,18.5,1,110,1,0,1,
,Escherichia coli IAI39,0,0,NC_011750,YP_002410732.1,TC-Lam,TC-Lam,0.43,18.5,159,188,0,1,1,
,Escherichia coli UMN026,0,0,NC_011751,YP_002411384.1,TC-Lam,TC-Lam,0.12,20.3,1,140,1,0,1,
,Escherichia coli UMN026,0,0,NC_011751,YP_002411384.1,TC-Lam,TC-Lam,0.12,20.3,84,189,0,0,0,
,Escherichia coli UMN026,0,0,NC_011751,YP_002411651.1,TC-Sfv,TC-Sfv,0,207,5,168,0,0,0,
,Escherichia coli UMN026,0,0,NC_011751,YP_002411734.1,TC-Mu,TC-Mu,0.31,19.2,8,145,0,1,1,
,Escherichia coli UMN026,0,0,NC_011751,YP_002412100.1,TC-Lam,TC-Lam,0.055,21.4,1,81,1,0,1,
,Escherichia coli UMN026,0,0,NC_011751,YP_002412100.1,TC-Lam,TC-Lam,0.055,21.4,74,176,0,1,1,
,Escherichia coli UMN026,0,0,NC_011751,YP_002412173.1,TC-Lam,TC-Lam,0.23,19.4,1,140,1,0,1,
,Escherichia coli UMN026,0,0,NC_011751,YP_002412173.1,TC-Lam,TC-Lam,0.23,19.4,84,189,0,1,1,
,Escherichia coli UMN026,0,0,NC_011751,YP_002412561.1,TC-Lam,TC-Lam,0.68,17.8,1,111,1,0,1,
,Escherichia coli UMN026,0,0,NC_011751,YP_002412561.1,TC-Lam,TC-Lam,0.68,17.8,94,189,0,0,0,
,Escherichia coli UMN026,0,0,NC_011751,YP_002413031.1,TC-Mu,TC-Mu,0.000039,31.9,2,47,0,0,0,
,Pseudomonas phage SN,Pseudomonas aeruginosa,neg,NC_011756,YP_002418836.1,TC-HK97,TC-HK97,4.7,16.4,13,121,0,0,0,
,Methylobacterium extorquens CM4,0,0,NC_011757,YP_002419154.1,TC-TPSY,TC-TPSY,0,269.3,1,221,0,1,1,
,Methylobacterium extorquens CM4,0,0,NC_011757,YP_002420385.1,U_TC_Fam5,U_TC_Fam5,8.2,14.5,130,176,1,1,1,
,Methylobacterium extorquens CM4,0,0,NC_011757,YP_002420385.1,TC-T1,TC-T1,0.00000015,39.5,84,124,1,1,1,
,Methylobacterium extorquens CM4,0,0,NC_011757,YP_002420385.1,TC-T1,TC-T1,0.00000015,39.5,125,177,1,1,1,
,Methylobacterium extorquens CM4,0,0,NC_011757,YP_002420385.1,TC-T1,TC-T1,0.00000015,39.5,84,124,1,0,1,
,Methylobacterium extorquens CM4,0,0,NC_011757,YP_002420385.1,TC-T1,TC-T1,0.00000015,39.5,125,177,0,1,1,
,Desulfatibacillum alkenivorans AK-01,0,0,NC_011768,YP_002432711.1,TC-Mu,TC-Mu,0.0041,25.4,9,142,1,0,1,
,Desulfatibacillum alkenivorans AK-01,0,0,NC_011768,YP_002432711.1,TC-Mu,TC-Mu,0.0041,25.4,132,174,0,0,0,
,Desulfovibrio vulgaris str.  Miyazaki F,0,0,NC_011769,YP_002435156.1,TC-Mu,TC-Mu,4.40E-16,67.4,2,155,0,0,0,
,Desulfovibrio vulgaris str.  Miyazaki F,0,0,NC_011769,YP_002435707.1,TC-Mu,TC-Mu,2.60E-17,71.4,14,141,0,1,1,
,Desulfovibrio vulgaris str.  Miyazaki F,0,0,NC_011769,YP_002435901.1,TC-phiC2,TC-phiC2,3.2,15.6,84,135,1,0,1,
,Desulfovibrio vulgaris str.  Miyazaki F,0,0,NC_011769,YP_002435901.1,TC-phiC2,TC-phiC2,3.2,15.6,421,488,0,1,1,
,Desulfovibrio vulgaris str.  Miyazaki F,0,0,NC_011769,YP_002436066.1,TC-HK97,TC-HK97,0,51.1,12,118,1,1,1,
,Desulfovibrio vulgaris str.  Miyazaki F,0,0,NC_011769,YP_002436066.1,TC-Adjutor,TC-Adjutor,0.38,18.9,16,100,1,0,1,
,Desulfovibrio vulgaris str.  Miyazaki F,0,0,NC_011769,YP_002436066.1,TC-Che12,TC-Che12,0.0012,27.4,10,106,0,0,0,
,Pseudomonas aeruginosa LESB58,0,0,NC_011770,YP_002438419.1,TC-Lam,TC-Lam,0,250,1,246,0,0,0,
,Pseudomonas aeruginosa LESB58,0,0,NC_011770,YP_002438953.1,TC-Lam,TC-Lam,0,252.3,1,246,0,0,0,
,Pseudomonas aeruginosa LESB58,0,0,NC_011770,YP_002440149.1,TC-HK97,TC-HK97,0,61.1,13,140,0,1,1,
,Bacillus cereus G9842,0,0,NC_011772,YP_002446023.1,TC-JCL103,TC-JCL103,1.20E-36,134,1,113,1,1,1,
,Bacillus cereus G9842,0,0,NC_011772,YP_002446023.1,TC-T1,TC-T1,1.6,16.7,2,102,1,0,1,
,Bacillus cereus G9842,0,0,NC_011772,YP_002446023.1,TC-T1,TC-T1,1.6,16.7,2,102,0,1,1,
,Bacillus cereus G9842,0,0,NC_011772,YP_002446324.1,TC-Bthuringiensis,TC-Bthuringiensis,0,272.8,1,119,1,0,1,
,Bacillus cereus G9842,0,0,NC_011772,YP_002446324.1,TC-Bthuringiensis,TC-Bthuringiensis,0,272.8,1,119,0,1,1,
,Bacillus cereus G9842,0,0,NC_011772,YP_002447327.1,TC-JCL103,TC-JCL103,7.20E-40,144.4,1,114,1,1,1,
,Bacillus cereus G9842,0,0,NC_011772,YP_002447327.1,TC-T1,TC-T1,1.2,17.1,2,102,1,0,1,
,Bacillus cereus G9842,0,0,NC_011772,YP_002447327.1,TC-T1,TC-T1,1.2,17.1,2,102,0,1,1,
,Bacillus cereus AH820,0,0,NC_011773,YP_002449565.1,TC-BCereusAH820,TC-BCereusAH820,7.00E-26,99.1,3,136,1,0,1,
,Bacillus cereus AH820,0,0,NC_011773,YP_002449565.1,TC-BCereusAH820,TC-BCereusAH820,7.00E-26,99.1,3,136,0,0,0,
,Bacillus cereus AH820,0,0,NC_011773,YP_002453328.1,TC-HK97,TC-HK97,0.00019,30.6,10,140,0,0,0,
,Lactobacillus phage Lv-1,Lactobacillus jensenii,pos,NC_011801,YP_002455795.1,TC-HK97,TC-HK97,0.00015,30.9,23,151,0,0,0,
,Pseudomonas phage PB1,Pseudomonas aeruginosa,neg,NC_011810,YP_002455959.1,TC-HK97,TC-HK97,4.7,16.4,14,121,0,1,1,
,Desulfitobacterium hafniense DCB-2,0,0,NC_011830,YP_002457951.1,TC-HK97,TC-HK97,0,56.9,10,108,1,0,1,
,Desulfitobacterium hafniense DCB-2,0,0,NC_011830,YP_002457951.1,TC-HK97,TC-HK97,6.2,15.5,4,74,0,0,0,
,Chloroflexus aggregans DSM 9485,0,0,NC_011831,YP_002463903.1,TC-phiC2,TC-phiC2,7.9,14.4,120,154,0,0,0,
,Clostridium kluyveri NBRC 12016,0,0,NC_011837,YP_002470579.1,TC-HK97,TC-HK97,9,15,38,139,0,0,0,
,Clostridium kluyveri NBRC 12016,0,0,NC_011837,YP_002472191.1,TC-Adjutor,TC-Adjutor,0,245.4,8,144,0,0,0,
,Clostridium kluyveri NBRC 12016,0,0,NC_011837,YP_002472801.1,TC-HK97,TC-HK97,0.0000000011,47.4,13,133,0,0,0,
,Clostridium kluyveri NBRC 12016,0,0,NC_011837,YP_002473354.1,TC-Adjutor,TC-Adjutor,3.40E-25,96.8,1,141,0,0,0,
,Haemophilus parasuis SH0165,swine,0,NC_011852,YP_002475148.1,TC-Mu,TC-Mu,1.00E-36,134.3,4,151,0,0,0,
,Haemophilus parasuis SH0165,swine,0,NC_011852,YP_002475204.1,TC-Lam,TC-Lam,0.018,23,1,82,0,0,0,
,Haemophilus parasuis SH0165,swine,0,NC_011852,YP_002475463.1,TC-Mu,TC-Mu,0,51.3,7,144,0,1,1,
,Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774,0,0,NC_011883,YP_002478838.1,TC-Mu,TC-Mu,0.019,23.2,14,132,1,0,1,
,Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774,0,0,NC_011883,YP_002478838.1,TC-Mu,TC-Mu,0.019,23.2,149,221,0,0,0,
,Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774,0,0,NC_011883,YP_002480025.1,TC-Adjutor,TC-Adjutor,6.3,15,73,149,0,0,0,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002495940.1,TC-Lam,TC-Lam,4,15.3,1,96,0,1,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002497293.1,TC-HK97,TC-HK97,0.00000000064,48.2,50,179,1,0,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002497293.1,TC-JCL103,TC-JCL103,0.28,19.6,47,145,0,1,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002497723.1,TC-Lam,TC-Lam,1.40E-21,85.6,156,188,1,0,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002497723.1,TC-Lam,TC-Lam,1.40E-21,85.6,1,157,0,0,0,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002497873.1,TC-HK97,TC-HK97,0,65.2,7,140,0,1,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002498756.1,TC-HK97,TC-HK97,0,52.2,17,165,1,1,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002498756.1,TC-BCJA1C,TC-BCJA1C,0.083,21.2,23,79,1,1,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002498756.1,TC-BCJA1C,TC-BCJA1C,0.083,21.2,91,163,1,1,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002498756.1,TC-T1,TC-T1,0.000000089,40.2,13,167,1,0,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002498756.1,TC-T1,TC-T1,0.000000089,40.2,13,167,0,0,0,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002499070.1,TC-TPSY,TC-TPSY,0,276,1,221,0,1,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002499254.1,TC-T1,TC-T1,0.0000000058,44.1,81,122,1,1,1,
,Methylobacterium nodulans ORS 2060,0,0,NC_011894,YP_002499254.1,TC-T1,TC-T1,0.0000000058,44.1,112,170,1,1,1,
