,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*,75
,Yersinia pseudotuberculosis PB1/+,0,0,NC_010634,YP_001873991.1,TR-P2,TR-P2,2.10E-21,84.6,1,135,0,0,0,
,Yersinia pseudotuberculosis PB1/+,0,0,NC_010634,YP_001874451.1,TR-meningitidis,TR-meningitidis,3.6,15.9,36,115,0,0,0,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001879577.1,TR-Lam,TR-Lam,0,214.1,1,131,0,0,0,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001879616.1,TR-SPP1,TR-SPP1,0,56,4,110,0,0,0,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001879927.1,TR-Lam,TR-Lam,0,214.1,1,131,0,0,0,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001880070.1,TR-Lam,TR-Lam,0,214.1,1,131,0,0,0,
,Shigella boydii CDC 3083-94,0,0,NC_010658,YP_001880488.1,TR-P2,TR-P2,4.30E-34,125.7,1,130,0,1,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001885151.1,TR-Sfi21,TR-Sfi21,0.0097,24.4,5,103,1,0,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001885151.1,TR-ListeriaB025,TR-ListeriaB025,0.33,19.3,1,109,0,0,0,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886102.1,TR-CD38,TR-CD38,0.000076,31.1,1,133,0,0,0,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886442.1,TR-Bmccartyi,TR-Bmccartyi,4.9,15.7,1,105,0,1,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886918.1,TR-Adjutor,TR-Adjutor,0,431.7,1,274,1,0,1,
,Clostridium botulinum B str. Eklund 17B,0,0,NC_010674,YP_001886918.1,TR-CD38,TR-CD38,0.25,19.7,142,266,0,0,0,
,Francisella tularensis subsp. mediasiatica FSC147,0,0,NC_010677,YP_001891532.1,TR-CD38,TR-CD38,6.2,15.2,222,297,0,0,0,
,Francisella tularensis subsp. mediasiatica FSC147,0,0,NC_010677,YP_001891837.1,TR-Giles,TR-Giles,5.5,15.3,198,287,0,0,0,
,Erwinia tasmaniensis Et1/99,0,0,NC_010694,YP_001906524.1,TR-P2,TR-P2,1.50E-35,130.4,1,131,0,0,0,
,Erwinia tasmaniensis Et1/99,0,0,NC_010694,YP_001908263.1,TR-T4,TR-T4,5.2,15.1,19,67,0,0,0,
,Xanthomonas oryzae pv. oryzae PXO99A,0,0,NC_010717,YP_001914558.1,TR-P2,TR-P2,7.70E-37,134.6,1,131,0,0,0,
,Clostridium botulinum E3 str. Alaska E43,0,0,NC_010723,YP_001920283.1,TR-CD38,TR-CD38,3.40E-37,135.9,1,138,0,0,0,
,Clostridium botulinum E3 str. Alaska E43,0,0,NC_010723,YP_001921329.1,TR-Cereus,TR-Cereus,4.7,15.5,24,141,0,0,0,
,Clostridium botulinum E3 str. Alaska E43,0,0,NC_010723,YP_001921493.1,TR-Bmccartyi,TR-Bmccartyi,7,15.2,1,105,0,0,0,
,Methylobacterium populi BJ001,0,0,NC_010725,YP_001924124.1,TR-SPP1,TR-SPP1,8.90E-16,66.6,11,131,0,0,0,
,Methylobacterium populi BJ001,0,0,NC_010725,YP_001925370.1,TR-SPP1,TR-SPP1,0.00015,30.3,5,122,0,0,0,
,Sulfurihydrogenibium sp. YO3AOP1,0,0,NC_010730,YP_001930859.1,TR-CD38,TR-CD38,5.4,15.2,218,302,0,1,1,
,Sulfurihydrogenibium sp. YO3AOP1,0,0,NC_010730,YP_001931705.1,TR-Cereus,TR-Cereus,2.8,16.2,4,71,1,1,1,
,Sulfurihydrogenibium sp. YO3AOP1,0,0,NC_010730,YP_001931705.1,TR-Cereus,TR-Cereus,2.8,16.2,234,342,1,0,1,
,Sulfurihydrogenibium sp. YO3AOP1,0,0,NC_010730,YP_001931705.1,TR-Cereus,TR-Cereus,2.8,16.2,346,434,0,0,0,
,Mycobacterium phage BPs,Mycobacterium smegmatis,myc,NC_010762,YP_001936040.1,TR-Che8,TR-Che8,0.00000094,37.4,18,138,0,0,0,
,Mycobacterium phage Adjutor,Mycobacterium smegmatis,myc,NC_010763,YP_001936113.1,TR-Adjutor,TR-Adjutor,5.4,14.8,26,139,0,0,0,
,Burkholderia multivorans ATCC 17616,0,0,NC_010805,YP_001948078.1,TR-P2,TR-P2,7.50E-36,131.4,1,131,0,1,1,
,Burkholderia multivorans ATCC 17616,0,0,NC_010805,YP_001949016.1,TR-SPP1,TR-SPP1,0.00000000042,48.3,3,112,1,1,1,
,Burkholderia multivorans ATCC 17616,0,0,NC_010805,YP_001949016.1,TR-T1,TR-T1,0.45,18.6,20,91,1,1,1,
,Burkholderia multivorans ATCC 17616,0,0,NC_010805,YP_001949016.1,TR-T1,TR-T1,0.45,18.6,84,112,1,0,1,
,Burkholderia multivorans ATCC 17616,0,0,NC_010805,YP_001949016.1,TR-Che8,TR-Che8,0.00000049,38.3,5,114,0,0,0,
,Bifidobacterium longum DJO10A,0,0,NC_010816,YP_001955093.1,TR-Che8,TR-Che8,0.000003,35.8,4,119,0,0,0,
,Candidatus Amoebophilus asiaticus 5a2,0,0,NC_010830,YP_001957302.1,TR-T4,TR-T4,4.9,15.1,58,154,0,1,1,
,Chlorobium phaeobacteroides BS1,0,0,NC_010831,YP_001960199.1,TR-BcepMu,TR-BcepMu,3,15.8,93,135,1,0,1,
,Chlorobium phaeobacteroides BS1,0,0,NC_010831,YP_001960199.1,TR-BcepMu,TR-BcepMu,3,15.8,198,240,0,0,0,
,Actinobacillus pleuropneumoniae serovar 7 str. AP76,0,0,NC_010939,YP_001968289.1,TR-Lam,TR-Lam,6.80E-23,89.6,1,132,0,0,0,
,Actinobacillus pleuropneumoniae serovar 7 str. AP76,0,0,NC_010939,YP_001968616.1,TR-Lam,TR-Lam,4.30E-17,70.8,1,132,0,0,0,
,Stenotrophomonas maltophilia K279a,0,0,NC_010943,YP_001970231.1,TR-P2,TR-P2,5.10E-34,125.4,1,131,0,0,0,
,Stenotrophomonas maltophilia K279a,0,0,NC_010943,YP_001971692.1,U_TR_Oligot,U_TR_Oligot,4.5,15.5,23,157,0,0,0,
,Streptococcus phage PH15,Streptococcus gordonii,pos,NC_010945,YP_001974369.1,TR-BCJA1C,TR-BCJA1C,5.75E-44,157.5,1,137,0,0,0,
,Wolbachia endosymbiont of Culex quinquefasciatus Pel,Culex quinquefasciatus Pel,0,NC_010981,YP_001974848.1,TR-SPP1,TR-SPP1,0.51,18.9,31,133,0,0,0,
,Rhizobium etli CIAT 652,0,0,NC_010994,YP_001978051.1,TR-meningitidis,TR-meningitidis,8.2,14.8,189,286,0,0,0,
,Lactobacillus casei BL23,0,0,NC_010999,YP_001986933.1,TR-SPP1,TR-SPP1,5.4,15.6,7,68,0,0,0,
,Lactobacillus casei BL23,0,0,NC_010999,YP_001987058.1,TR-SPP1,TR-SPP1,5.2,15.7,7,69,0,0,0,
,Lactobacillus casei BL23,0,0,NC_010999,YP_001987277.1,TR-SPP1,TR-SPP1,0.00000000019,49.4,10,130,0,0,0,
,Rhodopseudomonas palustris TIE-1,0,0,NC_011004,YP_001991105.1,TR-SPP1,TR-SPP1,3.70E-23,90.4,11,128,0,0,0,
,Rhodopseudomonas palustris TIE-1,0,0,NC_011004,YP_001992328.1,TR-DMS3,TR-DMS3,1.40E-23,92.1,1,123,0,0,0,
,Rhodopseudomonas palustris TIE-1,0,0,NC_011004,YP_001992956.1,TR-SPP1,TR-SPP1,0,64,13,131,0,0,0,
,Mycobacterium phage KBG,0,myc,NC_011019,YP_001994479.1,TR-Che8,TR-Che8,0.00013,30.5,21,146,0,0,0,
,Mycobacterium phage Jasper,0,myc,NC_011020,YP_001994568.1,TR-Che8,TR-Che8,0.0003,29.3,22,146,0,0,0,
,Mycobacterium phage Lockley,0,myc,NC_011021,YP_001994661.1,TR-Che8,TR-Che8,0.00015,30.3,22,146,0,0,0,
,Mycobacterium phage DD5,0,myc,NC_011022,YP_001994752.1,TR-Che8,TR-Che8,0.00015,30.3,22,146,0,0,0,
,Mycobacterium phage Pukovnik,0,myc,NC_011023,YP_001994841.1,TR-Che8,TR-Che8,0.001,27.6,7,136,0,1,1,
,Chloroherpeton thalassium ATCC 35110,0,0,NC_011026,YP_001995191.1,TR-BcepMu,TR-BcepMu,0,57.9,15,166,1,0,1,
,Chloroherpeton thalassium ATCC 35110,0,0,NC_011026,YP_001995191.1,TR-DMS3,TR-DMS3,0.0045,25.8,10,124,0,1,1,
,Mycoplasma arthritidis 158L3-1,0,0,NC_011025,YP_002000074.1,TR-Adjutor,TR-Adjutor,2.5,15.9,102,172,1,0,1,
,Mycoplasma arthritidis 158L3-1,0,0,NC_011025,YP_002000074.1,TR-Adjutor,TR-Adjutor,2.5,15.9,189,253,0,0,0,
,Mycobacterium phage Boomer,0,myc,NC_011054,YP_002014227.1,TR-Che8,TR-Che8,4.30E-21,83.8,8,134,0,0,0,
,Mycobacterium phage Porky,0,myc,NC_011055,YP_002014337.1,TR-Che8,TR-Che8,9.50E-29,108.6,10,132,0,0,0,
,Mycobacterium phage Kostya,0,myc,NC_011056,YP_002014486.1,TR-Che8,TR-Che8,9.50E-29,108.6,10,132,0,0,0,
,Pelodictyon phaeoclathratiforme BU-1,0,0,NC_011060,YP_002019009.1,TR-PA6,TR-PA6,8,14.7,19,97,0,0,0,
,Stenotrophomonas maltophilia R551-3,0,0,NC_011071,YP_002027557.1,TR-Bcep1,TR-Bcep1,6.6,15.3,616,704,0,0,0,
,Stenotrophomonas maltophilia R551-3,0,0,NC_011071,YP_002028879.1,TR-SPP1,TR-SPP1,0.0000000001,50.2,4,116,0,0,0,
,Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002040239.1,TR-Lam,TR-Lam,0,218,1,133,0,0,0,
,Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002041862.1,TR-Lam,TR-Lam,0,222.1,1,133,0,0,0,
,Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002041977.1,TR-P2,TR-P2,1.00E-30,114.7,1,140,0,0,0,
,Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002043310.1,TR-P2,TR-P2,1.60E-36,133.5,1,131,0,0,0,
,Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002043464.1,TR-BcepMu,TR-BcepMu,0,167.5,10,151,0,0,0,
,Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,0,0,NC_011083,YP_002045041.1,TR-Lam,TR-Lam,0,218.3,1,133,0,0,0,
,Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,0,0,NC_011083,YP_002047230.1,TR-P2,TR-P2,1.00E-30,114.7,1,140,0,0,0,
,Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,0,0,NC_011083,YP_002048204.1,TR-BcepMu,TR-BcepMu,0,167.5,10,151,0,0,0,
,Salmonella enterica subsp. enterica serovar Schwarzengrund str.,0,0,NC_011094,YP_002113611.1,TR-phi297,TR-phi297,0,170,6,126,0,0,0,
,Salmonella enterica subsp. enterica serovar Schwarzengrund str.,0,0,NC_011094,YP_002113663.1,TR-Lam,TR-Lam,0,220.1,1,133,0,0,0,
,Salmonella enterica subsp. enterica serovar Schwarzengrund str.,0,0,NC_011094,YP_002115120.1,TR-DMS3,TR-DMS3,6.90E-33,122.1,1,118,0,0,0,
,Salmonella enterica subsp. enterica serovar Schwarzengrund str.,0,0,NC_011094,YP_002117157.1,TR-DMS3,TR-DMS3,7.70E-31,115.5,1,118,0,0,0,
,Rhizobium phage 16-3,0,neg,NC_011103,YP_002117571.1,TR-SPP1,TR-SPP1,9.00E-23,89.2,10,128,0,0,0,
,Lactobacillus phage Lrm1,Lactobacillus rhamnosus,pos,NC_011104,YP_002117678.1,TR-ListeriaB025,TR-ListeriaB025,2.60E-30,113.4,1,128,0,0,0,
,Anaeromyxobacter sp. K,0,0,NC_011145,YP_002136014.1,TR-Che8,TR-Che8,4.4,15.9,195,319,0,0,0,
,Salmonella enterica subsp. enterica serovar Paratyphi A str.,0,0,NC_011147,YP_002143240.1,TR-P2,TR-P2,2.20E-36,133.1,1,131,0,0,0,
,Salmonella enterica subsp. enterica serovar Paratyphi A str.,0,0,NC_011147,YP_002143283.1,TR-P2,TR-P2,1.00E-30,114.7,1,140,0,0,0,
,Salmonella enterica subsp. enterica serovar Agona str. SL483,0,0,NC_011149,YP_002147586.1,TR-P2,TR-P2,6.70E-26,99.2,1,138,0,0,0,
,Salmonella enterica subsp. enterica serovar Agona str. SL483,0,0,NC_011149,YP_002147643.1,TR-P2,TR-P2,2.70E-36,132.8,1,131,0,0,0,
,Salmonella enterica subsp. enterica serovar Agona str. SL483,0,0,NC_011149,YP_002149128.1,TR-BcepMu,TR-BcepMu,0,166.4,10,151,0,0,0,
,Proteus mirabilis HI4320,0,0,NC_010554,YP_002150277.1,TR-T1,TR-T1,7.50E-37,134.3,5,127,0,0,0,
,Proteus mirabilis HI4320,0,0,NC_010554,YP_002150688.1,TR-SPP1,TR-SPP1,0.0000063,34.8,1,107,0,0,0,
,Proteus mirabilis HI4320,0,0,NC_010554,YP_002151453.1,TR-Bcep1,TR-Bcep1,6.30E-29,108.6,41,151,0,0,0,
,Proteus mirabilis HI4320,0,0,NC_010554,YP_002151706.1,TR-P2,TR-P2,3.90E-33,122.6,1,131,0,0,0,
,Pseudomonas phage LBL3,Pseudomonas aeruginosa,neg,NC_011165,YP_002154170.1,TR-Bcep1,TR-Bcep1,2.20E-30,113.3,48,164,0,0,0,
,Pseudomonas phage LMA2,Pseudomonas aeruginosa,neg,NC_011166,YP_002154261.1,TR-Bcep1,TR-Bcep1,5.30E-30,112.1,48,164,0,0,0,
,Bacillus phage IEBH,Bacillus thuringiensis,pos,NC_011167,YP_002154383.1,TR-BCJA1C,TR-BCJA1C,9.30E-38,137.4,1,140,0,0,0,
,Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,0,0,NC_011205,YP_002215248.1,TR-Lam,TR-Lam,0,218.3,1,133,0,0,0,
,Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,0,0,NC_011205,YP_002216023.1,TR-DMS3,TR-DMS3,5.30E-33,122.5,1,118,0,0,0,
,Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,0,0,NC_011205,YP_002216716.1,TR-P2,TR-P2,4.10E-38,138.7,1,131,0,1,1,
,Burkholderia phage KS10,Burkholderia cenocepacia,neg,NC_011216,YP_002221419.1,TR-Che8,TR-Che8,3.7,16.1,3,46,1,1,1,
,Burkholderia phage KS10,Burkholderia cenocepacia,neg,NC_011216,YP_002221419.1,TR-Che8,TR-Che8,3.7,16.1,76,191,1,0,1,
,Burkholderia phage KS10,Burkholderia cenocepacia,neg,NC_011216,YP_002221419.1,TR-Che8,TR-Che8,3.7,16.1,230,281,0,0,0,
,Burkholderia phage KS10,Burkholderia cenocepacia,neg,NC_011216,YP_002221451.1,TR-Mu,TR-Mu,0,53.3,6,188,0,0,0,
,Mycobacterium phage Solon,0,myc,NC_011267,YP_002223961.1,TR-Che8,TR-Che8,0.00013,30.5,22,146,0,0,0,
,Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,0,0,NC_011274,YP_002226256.1,TR-Lam,TR-Lam,0,218.3,1,133,0,1,1,
,Klebsiella pneumoniae 342,0,0,NC_011283,YP_002239506.1,U_TR_Oligot,U_TR_Oligot,8.5,14.6,7,53,1,0,1,
,Klebsiella pneumoniae 342,0,0,NC_011283,YP_002239506.1,U_TR_Oligot,U_TR_Oligot,8.5,14.6,78,112,0,0,0,
,Klebsiella pneumoniae 342,0,0,NC_011283,YP_002239936.1,TR-Bcep1,TR-Bcep1,1.20E-27,104.5,47,155,0,0,0,
,Mycobacterium phage Troll4,0,myc,NC_011285,YP_002241435.1,TR-Adjutor,TR-Adjutor,3,15.6,26,139,0,0,0,
,Mycobacterium phage Butterscotch,0,myc,NC_011286,YP_002241519.1,TR-Adjutor,TR-Adjutor,5.4,14.8,26,139,0,0,0,
,Mycobacterium phage Pacc40,0,myc,NC_011287,YP_002241594.1,TR-Che8,TR-Che8,4.30E-21,83.8,8,134,0,0,0,
,Mycobacterium phage Fruitloop,0,myc,NC_011288,YP_002241695.1,TR-Che8,TR-Che8,6.40E-24,92.9,1,123,0,0,0,
,Mycobacterium phage Ramsey,0,myc,NC_011289,YP_002241798.1,TR-Che8,TR-Che8,6.80E-21,83.2,8,134,0,0,0,
,Mycobacterium phage Gumball,0,myc,NC_011290,YP_002241915.1,TR-Adjutor,TR-Adjutor,5.6,14.7,29,139,0,0,0,
,Mycobacterium phage Brujita,0,myc,NC_011291,YP_002241995.1,TR-Che8,TR-Che8,4.50E-24,93.5,11,136,0,0,0,
,Salmonella enterica subsp. enterica serovar Enteritidis str.,0,0,NC_011294,YP_002244030.1,TR-DMS3,TR-DMS3,9.10E-33,121.7,1,118,0,0,0,
,Listeria phage P40,Listeria,pos,NC_011308,YP_002261426.1,TR-SPP1,TR-SPP1,0.79,18.3,31,148,0,0,0,
,Listeria phage P40,Listeria,pos,NC_011308,YP_002261445.1,TR-BCJA1C,TR-BCJA1C,2.3,16.4,143,231,0,0,0,
,Clostridium phage phiCP39-O,Clostridium perfringens,pos,NC_011318,YP_002265426.1,TR-SPP1,TR-SPP1,5,15.7,2,78,0,0,0,
,Helicobacter pylori G27,0,0,NC_011333,YP_002266282.1,TR-T4,TR-T4,8.5,14.4,11,123,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002269426.1,TR-Lam,TR-Lam,0,227.1,1,133,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270008.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270083.1,TR-Lam,TR-Lam,0,211.1,1,131,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270229.1,TR-Lam,TR-Lam,0,212.6,1,131,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270293.1,TR-Lam,TR-Lam,0,213,1,132,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270561.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270613.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271202.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271341.1,TR-P2,TR-P2,2.00E-37,136.5,1,131,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271423.1,TR-Lam,TR-Lam,0,213,1,132,0,0,0,
,Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271484.1,TR-Lam,TR-Lam,0,213,1,132,0,0,0,
,Rhizobium leguminosarum bv. trifolii WSM2304,0,0,NC_011369,YP_002281918.1,TR-T1,TR-T1,5.90E-30,112,8,135,0,1,1,
,Pseudomonas phage PAJU2,Pseudomonas aeruginosa,neg,NC_011373,YP_002284348.1,TR-SPP1,TR-SPP1,0,59.5,4,116,1,0,1,
,Pseudomonas phage PAJU2,Pseudomonas aeruginosa,neg,NC_011373,YP_002284348.1,TR-Che8,TR-Che8,4.5,15.8,20,115,0,1,1,
,Ureaplasma urealyticum serovar 10 str. ATCC 33699,0,0,NC_011374,YP_002284812.1,TR-Bmccartyi,TR-Bmccartyi,4.6,15.8,56,132,1,1,1,
,Ureaplasma urealyticum serovar 10 str. ATCC 33699,0,0,NC_011374,YP_002284812.1,TR-Bmccartyi,TR-Bmccartyi,4.6,15.8,164,242,1,1,1,
,Ureaplasma urealyticum serovar 10 str. ATCC 33699,0,0,NC_011374,YP_002284812.1,TR-Bmccartyi,TR-Bmccartyi,4.6,15.8,274,352,1,0,1,
,Ureaplasma urealyticum serovar 10 str. ATCC 33699,0,0,NC_011374,YP_002284812.1,TR-Bmccartyi,TR-Bmccartyi,4.6,15.8,383,456,0,0,0,
,Streptococcus pyogenes NZ131,0,0,NC_011375,YP_002285786.1,TR-SPP1,TR-SPP1,9.9,14.8,9,114,0,0,0,
,Streptococcus pyogenes NZ131,0,0,NC_011375,YP_002286439.1,TR-SPP1,TR-SPP1,0.0000000021,46,11,126,0,0,0,
,Oligotropha carboxidovorans OM5,0,0,NC_011386,YP_002287835.1,U_TR_Oligot,U_TR_Oligot,0,217.3,1,143,0,0,0,
,Oligotropha carboxidovorans OM5,0,0,NC_011386,YP_002289572.1,TR-SPP1,TR-SPP1,8.30E-26,98.9,11,133,0,0,0,
,Clostridium phage phiCD27,Clostridium difficile,pos,NC_011398,YP_002290887.1,TR-Adjutor,TR-Adjutor,0,416.8,1,273,0,0,0,
,Escherichia coli SE11,0,0,NC_011415,YP_002291878.1,TR-Lam,TR-Lam,0,211.1,1,131,0,0,0,
,Escherichia coli SE11,0,0,NC_011415,YP_002292719.1,TR-T1,TR-T1,0.000012,33.4,5,115,0,0,0,
,Escherichia coli SE11,0,0,NC_011415,YP_002292928.1,TR-Lam,TR-Lam,0,210.3,1,131,0,0,0,
,Escherichia coli SE11,0,0,NC_011415,YP_002293136.1,TR-P2,TR-P2,1.40E-34,127.2,1,130,0,0,0,
,Escherichia coli SE11,0,0,NC_011415,YP_002293332.1,TR-Lam,TR-Lam,0,211.1,1,131,0,0,0,
,Escherichia coli SE11,0,0,NC_011415,YP_002293856.1,TR-Mu,TR-Mu,2.50E-42,153.1,1,179,0,0,0,
,Rhodospirillum centenum SW,0,0,NC_011420,YP_002296339.1,U_TR_Oligot,U_TR_Oligot,0,200.6,1,149,0,1,1,
,Rhodospirillum centenum SW,0,0,NC_011420,YP_002297350.1,TR-BcepMu,TR-BcepMu,7.50E-33,121.5,10,154,1,0,1,
,Rhodospirillum centenum SW,0,0,NC_011420,YP_002297350.1,TR-DMS3,TR-DMS3,0.021,23.6,5,116,0,0,0,
,Bacillus phage SPO1,0,pos,NC_011421,YP_002300354.1,TR-SPO1,TR-SPO1,0,261.1,1,285,0,0,0,
,Coxiella burnetii CbuG_Q212,0,0,NC_011527,YP_002304377.1,U_TR_Oligot,U_TR_Oligot,3.1,16,39,139,0,0,0,
,Coxiella burnetii CbuK_Q154,0,0,NC_011528,YP_002306278.1,U_TR_Oligot,U_TR_Oligot,3.7,15.7,37,119,0,0,0,
,Anoxybacillus flavithermus WK1,0,0,NC_011567,YP_002315035.1,TR-Bmccartyi,TR-Bmccartyi,0.0032,25.9,6,107,0,0,0,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320031.1,TR-T1,TR-T1,0.13,20.3,22,118,0,0,0,
,Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320534.1,TR-T1,TR-T1,6.2,14.9,130,229,0,0,0,
,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222,0,0,NC_011593,YP_002322286.1,TR-Che8,TR-Che8,8.4,15,18,81,0,1,1,
,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222,0,0,NC_011593,YP_002323273.1,TR-SPP1,TR-SPP1,3.2,16.4,8,119,1,0,1,
,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222,0,0,NC_011593,YP_002323273.1,TR-Che8,TR-Che8,0,63.1,4,124,0,0,0,
,Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326436.1,TR-T1,TR-T1,0.0011,27,7,106,0,0,0,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328274.1,TR-Lam,TR-Lam,0,213.2,1,131,0,0,0,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328393.1,TR-P2,TR-P2,6.30E-39,141.3,1,131,0,0,0,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328590.1,TR-Lam,TR-Lam,0,224.5,1,133,0,0,0,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328967.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002329342.1,TR-P2,TR-P2,9.70E-35,127.8,1,130,0,0,0,
,Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002330166.1,TR-Mu,TR-Mu,0,170.9,1,176,0,0,0,
,Pseudomonas phage MP38,Pseudomonas aeruginosa PA14,neg,NC_011611,YP_002332349.1,TR-DMS3,TR-DMS3,1.20E-26,102,7,135,0,1,1,
,Staphylococcus phage phiSauS-IPLA35,Staphylococcus aureus,pos,NC_011612,YP_002332408.1,TR-SPP1,TR-SPP1,0.0012,27.4,7,118,1,0,1,
,Staphylococcus phage phiSauS-IPLA35,Staphylococcus aureus,pos,NC_011612,YP_002332408.1,TR-ListeriaB025,TR-ListeriaB025,5.50E-24,92.9,1,128,0,0,0,
,Pseudomonas phage MP29,Pseudomonas aeruginosa PA14,neg,NC_011613,YP_002332462.1,TR-DMS3,TR-DMS3,3.50E-28,106.9,9,129,0,0,0,
,Bacillus cereus AH187,0,0,NC_011658,YP_002336669.1,TR-Bmccartyi,TR-Bmccartyi,0.00000056,38,1,106,0,1,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002338197.1,TR-SPP1,TR-SPP1,0.013,24.1,7,113,1,0,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002338197.1,TR-ListeriaB025,TR-ListeriaB025,0.035,22.4,6,117,0,1,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002339935.1,TR-SPP1,TR-SPP1,0.00000000052,47.9,7,114,1,1,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002339935.1,TR-ListeriaB025,TR-ListeriaB025,0.0000000016,46.2,1,116,1,0,1,
,Bacillus cereus AH187,0,0,NC_011658,YP_002339935.1,TR-FL3A,TR-FL3A,0.31,19.5,28,114,0,0,0,
,Neisseria meningitidis Z2491,0,0,NC_003116,YP_002343127.1,TR-Mu,TR-Mu,0,231.2,1,206,0,0,0,
,Yersinia pestis CO92,0,0,NC_003143,YP_002347093.1,TR-T1,TR-T1,5.90E-37,134.6,5,130,0,0,0,
,Yersinia pestis CO92,0,0,NC_003143,YP_002347574.1,TR-T4,TR-T4,5.6,15,19,68,0,0,0,
,Yersinia pestis CO92,0,0,NC_003143,YP_002348860.1,TR-meningitidis,TR-meningitidis,3.7,15.9,36,115,0,0,0,
,Listeria monocytogenes HCC23,0,0,NC_011660,YP_002350327.1,TR-ListeriaB025,TR-ListeriaB025,0,175.9,1,127,0,0,0,
,Listeria monocytogenes HCC23,0,0,NC_011660,YP_002351933.1,TR-BCJA1C,TR-BCJA1C,2.60E-33,123.1,1,135,0,0,0,
,Shewanella baltica OS223,0,0,NC_011663,YP_002358501.1,TR-SPP1,TR-SPP1,0,64.7,5,116,0,0,0,
,Pseudomonas phage 14-1,0,neg,NC_011703,YP_002364336.1,TR-Bcep1,TR-Bcep1,2.20E-30,113.3,48,164,0,1,1,
,Bacillus cereus B4264,0,0,NC_011725,YP_002367337.1,TR-SPP1,TR-SPP1,0.00000000021,49.3,7,113,1,1,1,
,Bacillus cereus B4264,0,0,NC_011725,YP_002367337.1,TR-ListeriaB025,TR-ListeriaB025,0.000097,30.7,1,118,1,0,1,
