,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*,
,,Pseudomonas phage F10,Pseudomonas aeruginosa,neg,NC_007805,YP_001293356.1,FluMu_gp41,FluMu_gp41,0.18,20.1,9,83,0,0,0,
,,Pseudomonas phage 73,Pseudomonas aeruginosa,neg,NC_007806,YP_001293424.1,TG_Fam2,TG_Fam2,0.22,20.1,42,135,0,0,0,
,,Pseudomonas phage M6,Pseudomonas aeruginosa,neg,NC_007809,YP_001294536.1,TG_Fam2,TG_Fam2,2.4,16.7,24,131,0,0,0,
,,Parabacteroides distasonis ATCC 8503,0,0,NC_009615,YP_001305074.1,DUF3356,DUF3356,5.8,15.2,201,260,0,1,1,
,,Thermosipho melanesiensis BI429,0,0,NC_009616,YP_001305888.1,TG_Fam1,TG_Fam1,0.27,19.7,1,19,1,0,1,
,,Thermosipho melanesiensis BI429,0,0,NC_009616,YP_001305888.1,TG_Fam1,TG_Fam1,0.27,19.7,27,45,0,0,0,
,,Thermosipho melanesiensis BI429,0,0,NC_009616,YP_001306210.1,TG_Fam1,TG_Fam1,4.9,15.7,44,89,0,1,1,
,,Thermosipho melanesiensis BI429,0,0,NC_009616,YP_001306467.1,XkdN,XkdN,0.3,19.3,52,159,1,0,1,
,,Thermosipho melanesiensis BI429,0,0,NC_009616,YP_001306467.1,XkdN,XkdN,0.3,19.3,152,249,0,1,1,
,,Thermosipho melanesiensis BI429,0,0,NC_009616,YP_001306537.1,U_TG_Cr,U_TG_Cr,1,17.1,101,156,1,0,1,
,,Thermosipho melanesiensis BI429,0,0,NC_009616,YP_001306537.1,U_TG_Cr,U_TG_Cr,1,17.1,150,211,0,1,1,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001308064.1,DUF3647,DUF3647,0.24,20,184,241,1,0,1,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001308064.1,DUF3647,DUF3647,0.24,20,430,477,0,0,0,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001308779.1,XkdN,XkdN,1.10E-30,114.6,12,142,0,0,0,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001308787.1,DUF3647,DUF3647,0.62,18.6,184,241,0,1,1,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001309795.1,TG_Fam4,TG_Fam4,7.1,15.2,4,83,1,0,1,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001309795.1,TG_Fam4,TG_Fam4,7.1,15.2,111,164,0,0,0,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001309913.1,Phage_Gp14,Phage_Gp14,2.4,16.5,101,197,0,0,0,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001310478.1,XkdN,XkdN,2.90E-28,106.7,2,132,0,1,1,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001311744.1,DUF2765,DUF2765,1.6,17.1,49,91,1,0,1,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001311744.1,DUF2765,DUF2765,1.6,17.1,366,431,0,0,0,
,,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001312051.1,U_TG_Cr,U_TG_Cr,4.7,15,42,126,0,0,0,
,,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001315511.1,DUF3647,DUF3647,4.20E-34,125.6,11,127,0,1,1,
,,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001315716.1,TG_Fam1,TG_Fam1,8.1,15,2,18,1,0,1,
,,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001315716.1,TG_Fam1,TG_Fam1,8.1,15,24,44,0,0,0,
,,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001316060.1,DUF3647,DUF3647,2.00E-25,97.6,2,114,0,0,0,
,,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001316670.1,TG_Fam2,TG_Fam2,0.94,18,3,81,0,0,0,
,,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001316926.1,DUF2669,DUF2669,5.4,15.2,251,384,0,0,0,
,,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001317165.1,TH_Fam3,TH_Fam3,0.15,20,5,116,0,0,0,
,,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001317440.1,TIGR01674,TIGR01674,1.6,16.8,725,809,0,0,0,
,,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001320235.1,XkdN,XkdN,2.40E-25,97.3,11,134,0,0,0,
,,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001320377.1,XkdN,XkdN,2.70E-32,119.8,21,149,0,0,0,
,,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001321762.1,TG_Fam8,TG_Fam8,0,207.5,10,136,0,0,0,
,,Sinorhizobium medicae WSM419,0,0,NC_009636,YP_001327008.1,DUF3356,DUF3356,6.40E-26,98.5,3,103,0,1,1,
,,Sinorhizobium medicae WSM419,0,0,NC_009636,YP_001327319.1,DUF2376,DUF2376,0.0074,24.8,26,71,1,0,1,
,,Sinorhizobium medicae WSM419,0,0,NC_009636,YP_001327319.1,TG_Fam7,TG_Fam7,0.0054,24.6,2,52,0,0,0,
,,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001331334.1,DUF3647,DUF3647,5.00E-33,122.1,9,126,0,0,0,
,,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001332060.1,DUF3647,DUF3647,2.00E-25,97.6,2,114,0,0,0,
,,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001332390.1,TG_Fam2,TG_Fam2,0.94,18,3,81,0,0,0,
,,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001332633.1,DUF2669,DUF2669,5.4,15.2,251,384,0,0,0,
,,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001332816.1,DUF3647,DUF3647,7.60E-25,95.7,2,114,0,0,0,
,,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001332923.1,TH_Fam3,TH_Fam3,0.15,20,5,116,0,0,0,
,,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001333196.1,TIGR01674,TIGR01674,1.6,16.7,725,809,0,1,1,
,,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,0,0,NC_009648,YP_001334919.1,DUF3356,DUF3356,8.7,14.6,176,267,1,0,1,
,,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,0,0,NC_009648,YP_001334919.1,DUF3356,DUF3356,8.7,14.6,460,519,0,0,0,
,,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,0,0,NC_009648,YP_001335134.1,TG_Fam1,TG_Fam1,8.3,15,58,141,0,0,0,
,,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,0,0,NC_009648,YP_001337106.1,FluMu_gp41,FluMu_gp41,0,50.9,6,86,0,0,0,
,,Marinomonas sp. MWYL1,0,0,NC_009654,YP_001339445.1,DUF2765,DUF2765,5.40E-23,89.1,6,95,0,1,1,
,,Actinobacillus succinogenes 130Z,0,0,NC_009655,YP_001344541.1,U_Phage_TAC_13,U_Phage_TAC_13,3.7,16.3,17,124,1,0,1,
,,Actinobacillus succinogenes 130Z,0,0,NC_009655,YP_001344541.1,U_Phage_TAC_14,U_Phage_TAC_14,5.8,15.3,2,112,0,1,1,
,,Actinobacillus succinogenes 130Z,0,0,NC_009655,YP_001344693.1,TG_Fam1,TG_Fam1,2,17,551,615,1,0,1,
,,Actinobacillus succinogenes 130Z,0,0,NC_009655,YP_001344693.1,TG_Fam1,TG_Fam1,2,17,660,678,0,0,0,
,,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001346086.1,DUF2765,DUF2765,3.90E-27,102.4,7,88,0,0,0,
,,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001346162.1,FluMu_gp41,FluMu_gp41,3.30E-16,67.4,19,96,0,0,0,
,,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001346173.1,U_Phage_TAC_13,U_Phage_TAC_13,6.80E-18,73.1,4,107,0,0,0,
,,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001347782.1,DUF1789,DUF1789,1.20E-39,143.7,1,126,0,0,0,
,,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001350401.1,DUF2765,DUF2765,3.90E-27,102.4,7,88,0,0,0,
,,Nitratiruptor sp. SB155-2,0,0,NC_009662,YP_001356617.1,DUF3647,DUF3647,3.8,16.1,88,167,0,1,1,
,,Nitratiruptor sp. SB155-2,0,0,NC_009662,YP_001357114.1,TG_Fam1,TG_Fam1,0.98,17.9,509,583,1,0,1,
,,Nitratiruptor sp. SB155-2,0,0,NC_009662,YP_001357114.1,TG_Fam1,TG_Fam1,0.98,17.9,657,676,0,0,0,
,,Nitratiruptor sp. SB155-2,0,0,NC_009662,YP_001357200.1,Phage_Gp14,Phage_Gp14,2.9,16.2,17,127,0,1,1,
,,Sulfurovum sp. NBC37-1,0,0,NC_009663,YP_001358962.1,Phage_Gp14,Phage_Gp14,7.6,14.9,18,126,1,0,1,
,,Sulfurovum sp. NBC37-1,0,0,NC_009663,YP_001358962.1,Phage_Gp14,Phage_Gp14,7.6,14.9,110,159,0,0,0,
,,Kineococcus radiotolerans SRS30216,0,0,NC_009664,YP_001362711.1,TIGR02216,TIGR02216,6.4,15.2,362,402,0,1,1,
,,Shewanella baltica OS185,0,0,NC_009665,YP_001364863.1,FluMu_gp41,FluMu_gp41,1.9,16.8,45,108,1,0,1,
,,Shewanella baltica OS185,0,0,NC_009665,YP_001364863.1,FluMu_gp41,FluMu_gp41,1.9,16.8,111,135,0,0,0,
,,Shewanella baltica OS185,0,0,NC_009665,YP_001366426.1,TG_Fam1,TG_Fam1,2.5,16.6,6,24,0,0,0,
,,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001373689.1,DUF2669,DUF2669,6.9,14.8,14,64,0,0,0,
,,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001376457.1,TG_Fam6,TG_Fam6,3.2,16.2,9,91,0,1,1,
,,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001376877.1,TG_Fam8,TG_Fam8,9.3,14,103,158,1,0,1,
,,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001376877.1,TG_Fam8,TG_Fam8,9.3,14,339,432,0,0,0,
,,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001376964.1,U_Phage_TAC_14,U_Phage_TAC_14,5.6,15.4,3,70,0,0,0,
,,Anaeromyxobacter sp. Fw109-5,0,0,NC_009675,YP_001377498.1,TIGR02216,TIGR02216,3.1,16.2,319,352,0,1,1,
,,Anaeromyxobacter sp. Fw109-5,0,0,NC_009675,YP_001379703.1,TG_Fam1,TG_Fam1,9.2,14.8,79,131,1,0,1,
,,Anaeromyxobacter sp. Fw109-5,0,0,NC_009675,YP_001379703.1,TG_Fam1,TG_Fam1,9.2,14.8,129,145,0,0,0,
,,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001384743.1,DUF3356,DUF3356,8.7,14.6,11,96,0,0,0,
,,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391647.1,XkdN,XkdN,7.80E-39,141,3,136,0,0,0,
,,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001392473.1,TH_Fam3,TH_Fam3,0.38,18.7,10,93,0,1,1,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001393599.1,U_TG_Cr,U_TG_Cr,3.5,15.4,600,654,1,0,1,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001393599.1,U_TG_Cr,U_TG_Cr,3.5,15.4,709,788,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001395242.1,XkdN,XkdN,3.60E-33,122.7,9,141,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001395333.1,XkdN,XkdN,3.70E-34,125.9,9,141,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396006.1,XkdN,XkdN,2.4,16.3,2,65,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396016.1,TG_Fam8,TG_Fam8,0,210.1,1,128,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396581.1,TG_Fam5,TG_Fam5,1.9,16.9,177,276,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396630.1,XkdN,XkdN,7.40E-35,128.1,12,143,0,0,0,
,,Campylobacter jejuni subsp. doylei 269.97,0,0,NC_009707,YP_001397351.1,DUF2765,DUF2765,7.1,15,3,42,0,1,1,
,,Campylobacter curvus 525.92,0,0,NC_009715,YP_001408548.1,DUF3647,DUF3647,5.2,15.7,79,142,1,0,1,
,,Campylobacter curvus 525.92,0,0,NC_009715,YP_001408548.1,DUF3647,DUF3647,5.2,15.7,139,181,0,1,1,
,,Fervidobacterium nodosum Rt17-B1,0,0,NC_009718,YP_001410360.1,TG_Fam1,TG_Fam1,6.6,15.3,1,18,1,0,1,
,,Fervidobacterium nodosum Rt17-B1,0,0,NC_009718,YP_001410360.1,TG_Fam1,TG_Fam1,6.6,15.3,24,45,0,0,0,
,,Fervidobacterium nodosum Rt17-B1,0,0,NC_009718,YP_001410801.1,TG_Fam6,TG_Fam6,1.5,17.3,59,158,0,0,0,
,,Parvibaculum lavamentivorans DS-1,0,0,NC_009719,YP_001412193.1,DUF3356,DUF3356,2.00E-26,100.1,5,104,0,1,1,
,,Parvibaculum lavamentivorans DS-1,0,0,NC_009719,YP_001412194.1,DUF2376,DUF2376,0,53.6,19,64,1,0,1,
,,Parvibaculum lavamentivorans DS-1,0,0,NC_009719,YP_001412194.1,TIGR02216,TIGR02216,0,53.6,5,64,0,0,0,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418049.1,DUF3356,DUF3356,1.10E-24,94.6,5,104,0,1,1,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418050.1,DUF2376,DUF2376,0,56.5,23,67,1,0,1,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418050.1,TIGR02216,TIGR02216,6.50E-17,69.6,9,68,0,0,0,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418598.1,TG_Fam7,TG_Fam7,0.000011,33.4,1,110,0,0,0,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001419366.1,FluMu_gp41,FluMu_gp41,0.18,20.1,64,151,0,1,1,
,,Bacillus amyloliquefaciens FZB42,0,0,NC_009725,YP_001419914.1,TG_Fam1,TG_Fam1,5.1,15.6,17,36,1,0,1,
,,Bacillus amyloliquefaciens FZB42,0,0,NC_009725,YP_001419914.1,TG_Fam1,TG_Fam1,5.1,15.6,38,51,0,0,0,
,,Bacillus amyloliquefaciens FZB42,0,0,NC_009725,YP_001421820.1,XkdN,XkdN,5.1,15.3,115,213,0,0,0,
,,Bacillus amyloliquefaciens FZB42,0,0,NC_009725,YP_001421915.1,DUF3647,DUF3647,1.2,17.7,9,90,0,0,0,
,,Bacillus amyloliquefaciens FZB42,0,0,NC_009725,YP_001422645.1,DUF3647,DUF3647,5.1,15.7,155,262,0,0,0,
,,Coxiella burnetii Dugway 5J108-111,0,0,NC_009727,YP_001423805.1,XkdN,XkdN,4.4,15.5,20,128,0,1,1,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001430546.1,TIGR02216,TIGR02216,1.6,17.1,58,109,1,0,1,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001430546.1,TIGR02216,TIGR02216,1.6,17.1,174,213,0,0,0,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001431645.1,FluMu_gp41,FluMu_gp41,7.1,15,401,456,0,1,1,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001431980.1,TG_Fam1,TG_Fam1,6.9,15.2,8,26,1,1,1,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001431980.1,TG_Fam1,TG_Fam1,6.9,15.2,22,42,1,0,1,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001431980.1,TG_Fam1,TG_Fam1,6.9,15.2,57,103,0,0,0,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001432776.1,TG_Fam1,TG_Fam1,0.79,18.2,16,44,0,0,0,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001432910.1,TG_Fam4,TG_Fam4,6.60E-39,140.3,2,93,0,1,1,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001433045.1,DUF2376,DUF2376,5.8,15.5,183,212,1,0,1,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001433045.1,DUF2376,DUF2376,5.8,15.5,356,387,0,1,1,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001433538.1,TG_Fam1,TG_Fam1,1.9,17,1,15,1,0,1,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001433538.1,TG_Fam1,TG_Fam1,1.9,17,23,49,0,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001436863.1,TG_Fam1,TG_Fam1,1.8,17.1,9,32,1,0,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001436863.1,TG_Fam1,TG_Fam1,1.8,17.1,30,55,0,0,0,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437140.1,U_Phage_TAC_1,U_Phage_TAC_1,2.30E-43,155.5,1,114,0,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001439681.1,FluMu_gp41,FluMu_gp41,5.8,15.3,22,120,1,0,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001439681.1,FluMu_gp41,FluMu_gp41,5.8,15.3,119,165,0,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001440405.1,TG_Fam1,TG_Fam1,7.1,15.2,7,24,1,0,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001440405.1,TG_Fam1,TG_Fam1,7.1,15.2,28,45,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001441484.1,DUF3647,DUF3647,7.60E-25,95.7,2,114,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001442024.1,TG_Fam2,TG_Fam2,0.94,18,3,81,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001442281.1,DUF2669,DUF2669,5.4,15.2,251,384,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001442532.1,TH_Fam3,TH_Fam3,0.15,20,5,116,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001442835.1,TIGR01674,TIGR01674,1.6,16.8,725,809,0,0,0,
,,Enterobacteria phage BP-4795,Escherichia coli,neg,NC_004813,YP_001449302.1,U_Phage_TAC_1,U_Phage_TAC_1,0,172.8,1,124,0,0,0,
,,Streptococcus gordonii str. Challis substr. CH1,0,0,NC_009785,YP_001449453.1,DUF1268,DUF1268,1.1,18.1,6,102,0,1,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001451876.1,TG_Fam1,TG_Fam1,9.5,14.8,8,26,1,0,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001451876.1,TG_Fam1,TG_Fam1,9.5,14.8,29,55,0,1,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001452912.1,DUF3356,DUF3356,4.8,15.4,178,267,1,0,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001452912.1,DUF3356,DUF3356,4.8,15.4,461,520,0,0,0,
,,Escherichia coli HS,0,0,NC_009800,YP_001457681.1,FluMu_gp41,FluMu_gp41,0,56.4,9,89,0,1,1,
,,Escherichia coli HS,0,0,NC_009800,YP_001458086.1,DUF3356,DUF3356,2.8,16.2,176,267,1,0,1,
,,Escherichia coli HS,0,0,NC_009800,YP_001458086.1,DUF3356,DUF3356,2.8,16.2,466,520,0,0,0,
,,Escherichia coli HS,0,0,NC_009800,YP_001458191.1,TG_Fam1,TG_Fam1,9.4,14.8,41,141,0,1,1,
,,Escherichia coli HS,0,0,NC_009800,YP_001460144.1,TG_Fam1,TG_Fam1,7.4,15.1,7,24,1,0,1,
,,Escherichia coli HS,0,0,NC_009800,YP_001460144.1,TG_Fam1,TG_Fam1,7.4,15.1,29,45,0,1,1,
,,Escherichia coli E24377A,0,0,NC_009801,YP_001462560.1,DUF3356,DUF3356,2.8,16.2,176,267,1,0,1,
,,Escherichia coli E24377A,0,0,NC_009801,YP_001462560.1,DUF3356,DUF3356,2.8,16.2,466,520,0,0,0,
,,Escherichia coli E24377A,0,0,NC_009801,YP_001462671.1,TG_Fam1,TG_Fam1,9.4,14.8,41,141,0,0,0,
,,Escherichia coli E24377A,0,0,NC_009801,YP_001463279.1,FluMu_gp41,FluMu_gp41,0,64.1,9,85,0,0,0,
,,Escherichia coli E24377A,0,0,NC_009801,YP_001464048.1,U_Phage_TAC_1,U_Phage_TAC_1,5.5,15.3,9,93,0,1,1,
,,Escherichia coli E24377A,0,0,NC_009801,YP_001464804.1,TG_Fam1,TG_Fam1,7.4,15.1,7,24,1,0,1,
,,Escherichia coli E24377A,0,0,NC_009801,YP_001464804.1,TG_Fam1,TG_Fam1,7.4,15.1,29,45,0,0,0,
,,Listeria phage A500,Listeria monocytogenes,pos,NC_009810,YP_001468400.1,Phage_Gp14,Phage_Gp14,0,307.1,1,140,0,0,0,
,,Listeria phage A511,Listeria monocytogenes,pos,NC_009811,YP_001468475.1,U_TG_Spo1,U_TG_Spo1,4.50E-43,154.1,39,147,0,0,0,
,,Listeria phage B025,Listeria monocytogenes,pos,NC_009812,YP_001468651.1,TH_Fam3,TH_Fam3,0.27,19.2,2,113,0,0,0,
,,Streptococcus phage P9,Streptococcus equi,pos,NC_009819,YP_001469218.1,DUF3647,DUF3647,1.30E-24,95,2,116,0,1,1,
,,Thermotoga lettingae TMO,0,0,NC_009828,YP_001470101.1,TG_Fam1,TG_Fam1,0.73,18.3,1,18,1,0,1,
,,Thermotoga lettingae TMO,0,0,NC_009828,YP_001470101.1,TG_Fam1,TG_Fam1,0.73,18.3,23,45,0,0,0,
,,Shewanella sediminis HAW-EB3,0,0,NC_009831,YP_001473635.1,TG_Fam1,TG_Fam1,7.7,15.1,3,30,0,0,0,
,,Shewanella sediminis HAW-EB3,0,0,NC_009831,YP_001473856.1,TG_Fam1,TG_Fam1,1.2,17.6,3,25,0,0,0,
,,Serratia proteamaculans 568,0,0,NC_009832,YP_001477095.1,FluMu_gp41,FluMu_gp41,0.000000063,40.8,10,90,0,0,0,
,,Serratia proteamaculans 568,0,0,NC_009832,YP_001477313.1,DUF1268,DUF1268,4.4,16.1,10,106,0,1,1,
,,Prochlorococcus marinus str. MIT 9215,0,0,NC_009840,YP_001484231.1,TH_Fam3,TH_Fam3,5.2,15,10,53,1,0,1,
,,Prochlorococcus marinus str. MIT 9215,0,0,NC_009840,YP_001484231.1,TH_Fam3,TH_Fam3,5.2,15,99,166,0,0,0,
,,Bacillus pumilus SAFR-032,0,0,NC_009848,YP_001487974.1,XkdN,XkdN,1.90E-39,143,8,145,0,0,0,
,,Arcobacter butzleri RM4018,0,0,NC_009850,YP_001489346.1,Phage_Gp14,Phage_Gp14,5.9,15.2,626,722,0,0,0,
,,Arcobacter butzleri RM4018,0,0,NC_009850,YP_001490572.1,FluMu_gp41,FluMu_gp41,0,59.5,16,91,0,1,1,
,,Arcobacter butzleri RM4018,0,0,NC_009850,YP_001490773.1,TH_Fam3,TH_Fam3,0.56,18.1,136,210,1,0,1,
,,Arcobacter butzleri RM4018,0,0,NC_009850,YP_001490773.1,TH_Fam3,TH_Fam3,0.56,18.1,247,371,0,0,0,
,,Rickettsia massiliae MTU5,0,0,NC_009900,YP_001499396.1,Phage_lambd_GpG,Phage_lambd_GpG,6.4,14.9,77,143,0,0,0,
,,Rickettsia massiliae MTU5,0,0,NC_009900,YP_001499780.1,FluMu_gp41,FluMu_gp41,8.4,14.8,218,281,0,0,0,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001502121.1,TG_Fam1,TG_Fam1,3.3,16.2,4,25,0,0,0,
,,Enterococcus phage phiEF24C,Enterococcus faecalis,pos,NC_009904,YP_001504136.1,U_TG_Spo1,U_TG_Spo1,8.90E-42,149.9,49,157,0,0,0,
,,Frankia sp. EAN1pec,0,0,NC_009921,YP_001506064.1,TIGR02216,TIGR02216,4,15.9,369,410,0,0,0,
,,Frankia sp. EAN1pec,0,0,NC_009921,YP_001508117.1,TG_Fam4,TG_Fam4,1.20E-40,145.9,27,118,0,0,0,
,,Alkaliphilus oremlandii OhILAs,0,0,NC_009922,YP_001512528.1,DUF3647,DUF3647,2.4,16.7,139,231,0,0,0,
,,Alkaliphilus oremlandii OhILAs,0,0,NC_009922,YP_001512731.1,FluMu_gp41,FluMu_gp41,2.3,16.5,2,59,0,1,1,
,,Alkaliphilus oremlandii OhILAs,0,0,NC_009922,YP_001514261.1,TG_Fam1,TG_Fam1,8.2,15,4,16,1,0,1,
,,Alkaliphilus oremlandii OhILAs,0,0,NC_009922,YP_001514261.1,TG_Fam1,TG_Fam1,8.2,15,20,34,0,0,0,
,,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001514675.1,TG_Fam4,TG_Fam4,1.70E-37,135.8,29,120,0,1,1,
,,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001514676.1,FluMu_gp41,FluMu_gp41,2.4,16.5,1,88,1,0,1,
,,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001514676.1,TG_Fam4,TG_Fam4,4.90E-32,118.3,1,87,0,1,1,
,,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001519970.1,U_TG_Cr,U_TG_Cr,9.7,13.9,374,446,1,0,1,
,,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001519970.1,U_TG_Cr,U_TG_Cr,9.7,13.9,578,625,0,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001523660.1,DUF2376,DUF2376,0.00021,29.7,127,148,1,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001523660.1,DUF2376,DUF2376,0.00021,29.7,162,185,1,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001523660.1,DUF2376,DUF2376,0.00021,29.7,199,222,1,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001523660.1,DUF2376,DUF2376,0.00021,29.7,239,260,1,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001523660.1,DUF2376,DUF2376,0.00021,29.7,277,298,1,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001523660.1,DUF2376,DUF2376,0.00021,29.7,312,335,1,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001523660.1,DUF2376,DUF2376,0.00021,29.7,348,369,1,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001523660.1,DUF2376,DUF2376,0.00021,29.7,383,404,1,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001523660.1,DUF2376,DUF2376,0.00021,29.7,418,439,1,1,1,
