,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
,,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721033.1,TIGR01760,TIGR01760,0,288.8,199,545,0,0,0
,,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721080.1,TM-P2,TM-P2,7.20E-42,151.9,240,435,0,0,0
,,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721080.1,TIGR01760,TIGR01760,0,292.5,199,545,0,0,0
,,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721545.1,TM-P2,TM-P2,4.4,15.4,70,217,0,0,0
,,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721545.1,TM_Fam1,TM_Fam1,0.0000000025,45.4,7,302,0,1,1
,,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721843.1,TM-P2,TM-P2,0.11,20.6,37,220,1,0,1
,,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721843.1,TM-Lam,TM-Lam,1.7,16.8,48,214,0,0,0
,,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001721843.1,TM_Fam1,TM_Fam1,7.40E-17,70.1,8,278,0,0,0
,,Yersinia pseudotuberculosis YPIII,0,0,NC_010465,YP_001722168.1,TM_Fam1,TM_Fam1,0.58,18,110,280,0,0,0
,,Escherichia coli ATCC 8739,0,0,NC_010468,YP_001724223.1,U_TM-PNJ,U_TM-PNJ,0.00013,30,49,136,0,1,1
,,Escherichia coli ATCC 8739,0,0,NC_010468,YP_001725071.1,TM-Lam,TM-Lam,0,226.4,49,258,1,0,1
,,Escherichia coli ATCC 8739,0,0,NC_010468,YP_001725071.1,TIGR01541,TIGR01541,0,445.7,471,813,0,0,0
,,Escherichia coli ATCC 8739,0,0,NC_010468,YP_001725071.1,U_TM-PNJ,U_TM-PNJ,7.30E-22,85.3,54,140,0,1,1
,,Escherichia coli ATCC 8739,0,0,NC_010468,YP_001725708.1,TM-P2,TM-P2,2.00E-25,98.2,5,88,1,1,1
,,Escherichia coli ATCC 8739,0,0,NC_010468,YP_001725708.1,TM-P2,TM-P2,2.00E-25,98.2,102,149,1,0,1
,,Escherichia coli ATCC 8739,0,0,NC_010468,YP_001725708.1,TM-P2,TM-P2,2.00E-25,98.2,244,457,0,0,0
,,Escherichia coli ATCC 8739,0,0,NC_010468,YP_001725708.1,TIGR01760,TIGR01760,0,313.1,199,567,0,1,1
,,Leuconostoc citreum KM20,0,0,NC_010471,YP_001728317.1,TM-P2,TM-P2,1.10E-25,99.1,319,532,1,1,1
,,Leuconostoc citreum KM20,0,0,NC_010471,YP_001728317.1,TM-P2,TM-P2,1.10E-25,99.1,534,610,1,1,1
,,Leuconostoc citreum KM20,0,0,NC_010471,YP_001728317.1,TIGR01760,TIGR01760,1.00E-23,92.2,17,115,1,1,1
,,Leuconostoc citreum KM20,0,0,NC_010471,YP_001728317.1,TIGR01760,TIGR01760,1.00E-23,92.2,153,231,1,0,1
,,Leuconostoc citreum KM20,0,0,NC_010471,YP_001728317.1,TIGR01760,TIGR01760,1.00E-23,92.2,274,571,0,0,0
,,Leuconostoc citreum KM20,0,0,NC_010471,YP_001728317.1,TIGR01760,TIGR01760,1.00E-23,92.2,549,713,0,1,1
,,Escherichia coli str. K-12 substr. DH10B,0,0,NC_010473,YP_001730367.1,TM-Lam,TM-Lam,2.70E-16,68.3,2,107,1,1,1
,,Escherichia coli str. K-12 substr. DH10B,0,0,NC_010473,YP_001730367.1,TM-Lam,TM-Lam,2.70E-16,68.3,104,228,1,1,1
,,Escherichia coli str. K-12 substr. DH10B,0,0,NC_010473,YP_001730367.1,TM-Lam,TM-Lam,2.70E-16,68.3,262,315,1,1,1
,,Escherichia coli str. K-12 substr. DH10B,0,0,NC_010473,YP_001730367.1,TM-DMS3,TM-DMS3,0.083,18.9,4,116,1,1,1
,,Escherichia coli str. K-12 substr. DH10B,0,0,NC_010473,YP_001730367.1,TM-DMS3,TM-DMS3,0.083,18.9,101,202,1,0,1
,,Escherichia coli str. K-12 substr. DH10B,0,0,NC_010473,YP_001730367.1,TM-DMS3,TM-DMS3,0.083,18.9,174,299,0,0,0
,,Escherichia coli str. K-12 substr. DH10B,0,0,NC_010473,YP_001730367.1,U_TM-PNJ,U_TM-PNJ,0,52,267,316,0,0,0
,,Synechococcus sp. PCC 7002,0,0,NC_010475,YP_001733476.1,TM-Lam,TM-Lam,5.3,15.1,6,110,0,0,0
,,Thermotoga sp. RQ2,0,0,NC_010483,YP_001738269.1,U_TM_T4-PS,U_TM_T4-PS,5.4,15.3,82,164,0,0,0
,,Thermotoga sp. RQ2,0,0,NC_010483,YP_001738269.1,U_TM_T4-PS,U_TM_T4-PS,5.4,15.3,241,359,0,0,0
,,Thermotoga sp. RQ2,0,0,NC_010483,YP_001739348.1,TM-P2,TM-P2,2.6,16.2,245,355,0,0,0
,,Thermotoga sp. RQ2,0,0,NC_010483,YP_001739348.1,TM-P2,TM-P2,2.6,16.2,356,565,0,0,0
,,Salmonella phage Vi II-E1,Salmonella enterica,neg,NC_010495,YP_001742070.1,U_TM-PNJ,U_TM-PNJ,0,54.1,211,297,0,0,0
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001742718.1,U_TM-PNJ,U_TM-PNJ,8.9,14.6,209,265,0,1,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743259.1,TM-HK97,TM-HK97,0,421.5,395,696,1,1,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743259.1,TM-HK97,TM-HK97,0,421.5,702,787,1,1,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743259.1,TIGR01541,TIGR01541,0,219,723,1038,1,1,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743259.1,TIGR02675,TIGR02675,1.20E-21,84.9,62,120,1,1,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743259.1,TIGR02675,TIGR02675,1.20E-21,84.9,157,231,1,1,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743259.1,TM_Fam3,TM_Fam3,4.40E-24,93.9,215,338,1,0,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743259.1,TM_Fam3,TM_Fam3,4.40E-24,93.9,843,1049,0,0,0
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001743259.1,U_TM_CT-IMP,U_TM_CT-IMP,1.60E-17,71,957,1012,0,1,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001746294.1,TM-P2,TM-P2,1.40E-41,150.9,238,440,1,1,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001746294.1,TIGR01760,TIGR01760,0,350.9,23,193,1,0,1
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001746294.1,TIGR01760,TIGR01760,0,350.9,198,550,0,0,0
,,Escherichia coli SMS-3-5,0,0,NC_010498,YP_001746294.1,TIGR01760,TIGR01760,0,350.9,653,737,0,0,0
,,Pseudomonas putida W619,0,0,NC_010501,YP_001748223.1,TIGR01541,TIGR01541,2.80E-36,133.6,449,724,0,0,0
,,Pseudomonas putida W619,0,0,NC_010501,YP_001748223.1,TM_Fam1,TM_Fam1,2.30E-24,94.7,1,270,0,1,1
,,Pseudomonas putida W619,0,0,NC_010501,YP_001750782.1,TIGR01541,TIGR01541,4.40E-36,133,705,1054,1,1,1
,,Pseudomonas putida W619,0,0,NC_010501,YP_001750782.1,TIGR02675,TIGR02675,0.00000000073,47.1,156,226,1,1,1
,,Pseudomonas putida W619,0,0,NC_010501,YP_001750782.1,TIGR02675,TIGR02675,0.00000000073,47.1,690,738,1,1,1
,,Pseudomonas putida W619,0,0,NC_010501,YP_001750782.1,TM_Fam3,TM_Fam3,0,53.7,11,104,1,1,1
,,Pseudomonas putida W619,0,0,NC_010501,YP_001750782.1,TM_Fam3,TM_Fam3,0,53.7,409,534,1,0,1
,,Pseudomonas putida W619,0,0,NC_010501,YP_001750782.1,TM_Fam3,TM_Fam3,0,53.7,732,1062,0,0,0
,,Pseudomonas putida W619,0,0,NC_010501,YP_001750782.1,U_TM_CT-IMP,U_TM_CT-IMP,0,58.9,971,1032,0,0,0
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001754663.1,TM_Fam1,TM_Fam1,0,51,1,311,0,1,1
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001756810.1,TM-P2,TM-P2,0.00000035,38.6,22,160,1,1,1
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001756810.1,TM-P2,TM-P2,0.00000035,38.6,148,230,1,0,1
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001756810.1,TIGR01760,TIGR01760,0.092,20,34,248,0,0,0
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001756810.1,TM_Fam1,TM_Fam1,1.00E-20,82.8,1,252,0,1,1
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001757616.1,TIGR01541,TIGR01541,0.049,21.1,27,161,1,0,1
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001757616.1,TM_Fam3,TM_Fam3,0,209.6,1,192,0,0,0
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001757616.1,U_TM_CT-IMP,U_TM_CT-IMP,0,57.4,104,146,0,1,1
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001757815.1,TM-P2,TM-P2,0,62.9,260,473,1,0,1
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001757815.1,TIGR01760,TIGR01760,0.00000000064,46.9,222,449,0,0,0
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001757815.1,TIGR01760,TIGR01760,0.00000000064,46.9,523,659,0,0,0
,,Methylobacterium radiotolerans JCM 2831,0,0,NC_010505,YP_001758257.1,TM_Fam9,TM_Fam9,4.4,15.7,29,52,0,0,0
,,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001768112.1,TM_Fam1,TM_Fam1,0.14,20,4,267,0,0,0
,,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001769995.1,TM_Fam15,TM_Fam15,1.4,17,126,157,0,0,0
,,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001769995.1,TM_Fam14,TM_Fam14,3.6,16.3,103,159,0,0,0
,,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001770046.1,TIGR02675,TIGR02675,5.5,15.5,569,626,0,1,1
,,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001770918.1,TM-P2,TM-P2,2.40E-16,68.6,319,532,1,1,1
,,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001770918.1,TIGR01760,TIGR01760,0.000000072,40.1,285,607,1,0,1
,,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001770918.1,TIGR01760,TIGR01760,0.000000072,40.1,604,718,0,0,0
,,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001770918.1,TIGR01760,TIGR01760,0.000000072,40.1,874,965,0,0,0
,,Methylobacterium sp. 4-46,0,0,NC_010511,YP_001772682.1,TM_Fam3,TM_Fam3,0,61.9,226,422,0,0,0
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001775038.1,TM-P2,TM-P2,1.60E-29,111.6,160,373,0,0,0
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001775038.1,TIGR01760,TIGR01760,0,218.4,115,483,0,0,0
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001775337.1,U_TM_T4-PSSM2,U_TM_T4-PSSM2,1.6,16.1,65,159,0,0,0
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001775715.1,TM-P2,TM-P2,1.60E-29,111.6,160,373,0,0,0
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001775715.1,TIGR01760,TIGR01760,0,218.4,115,483,0,1,1
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001775858.1,TM-P2,TM-P2,0.66,18.1,10,161,1,0,1
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001775858.1,TM_Fam1,TM_Fam1,1.10E-41,151.5,1,249,0,0,0
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001775858.1,TM_Fam1,TM_Fam1,1.10E-41,151.5,335,620,0,0,0
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001776774.1,TM_Fam1,TM_Fam1,0.0000029,35.4,1,84,0,0,0
,,Xylella fastidiosa M12,0,0,NC_010513,YP_001776774.1,TM_Fam1,TM_Fam1,0.0000029,35.4,168,458,0,0,0
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001780243.1,TM-T4,TM-T4,6.3,15.1,80,124,0,0,0
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001780248.1,U_TM_T4-CPX,U_TM_T4-CPX,0.63,16.5,106,214,0,0,0
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781188.1,TM-HK97,TM-HK97,6.4,14.6,82,191,0,0,0
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781480.1,TM-P2,TM-P2,0.89,17.7,183,384,0,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781727.1,TM-P2,TM-P2,0,168.6,81,281,1,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781727.1,TM-P2,TM-P2,0,168.6,283,388,1,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781727.1,TIGR01760,TIGR01760,0,209.4,43,370,1,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781727.1,TIGR01760,TIGR01760,0,209.4,367,432,1,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781727.1,TM-SPP1,TM-SPP1,0,54,198,391,1,0,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781727.1,TM-SPP1,TM-SPP1,0,54,375,684,0,0,0
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001781727.1,TM-SPP1,TM-SPP1,0,54,673,869,0,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782112.1,TM-P2,TM-P2,0,185.3,255,455,1,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782112.1,TM-P2,TM-P2,0,185.3,1404,1591,1,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782112.1,TIGR01760,TIGR01760,0,300.6,217,564,1,0,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782112.1,TIGR01760,TIGR01760,0,300.6,1559,1750,0,0,0
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782112.1,TM_Fam1,TM_Fam1,0.006,24.5,278,547,0,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782309.1,TM-P2,TM-P2,0.33,19.1,79,149,1,0,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782309.1,TM-P2,TM-P2,0.33,19.1,138,281,0,0,0
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782309.1,TIGR01760,TIGR01760,0.0045,24.3,97,281,0,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782664.1,TM-SPP1,TM-SPP1,0.00012,27.9,53,157,1,1,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782664.1,TM-SPP1,TM-SPP1,0.00012,27.9,163,274,1,0,1
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782664.1,U_TM_TP-C,U_TM_TP-C,0.001,27.6,168,210,0,0,0
,,Clostridium botulinum B1 str. Okra,0,0,NC_010516,YP_001782664.1,U_TM_TP-C,U_TM_TP-C,0.001,27.6,217,255,0,1,1
,,Haemophilus somnus 2336,0,0,NC_010519,YP_001784017.1,TM-P2,TM-P2,7.90E-16,66.8,192,418,1,0,1
,,Haemophilus somnus 2336,0,0,NC_010519,YP_001784017.1,TM-SuMu,TM-SuMu,0,232.2,22,590,0,0,0
,,Haemophilus somnus 2336,0,0,NC_010519,YP_001784017.1,TM-SuMu,TM-SuMu,0,232.2,730,803,0,1,1
,,Haemophilus somnus 2336,0,0,NC_010519,YP_001784486.1,TM-P2,TM-P2,0,179.9,21,107,1,1,1
,,Haemophilus somnus 2336,0,0,NC_010519,YP_001784486.1,TM-P2,TM-P2,0,179.9,162,362,1,0,1
,,Haemophilus somnus 2336,0,0,NC_010519,YP_001784486.1,TIGR01760,TIGR01760,0,256.5,118,471,0,0,0
,,Haemophilus somnus 2336,0,0,NC_010519,YP_001784486.1,TM_Fam1,TM_Fam1,0.0032,25.4,166,461,0,0,0
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001785958.1,U_TM_T4-CPX,U_TM_T4-CPX,0.56,16.6,109,214,0,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TM-P2,TM-P2,4.80E-18,74.1,81,396,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TM-P2,TM-P2,4.80E-18,74.1,683,748,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TIGR01760,TIGR01760,2.90E-43,156.5,43,384,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TM_Fam1,TM_Fam1,0.057,21.3,4,130,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TM_Fam1,TM_Fam1,0.057,21.3,100,186,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TM_Fam1,TM_Fam1,0.057,21.3,181,422,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TM-SPP1,TM-SPP1,0.0000000012,44.5,58,212,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TM-SPP1,TM-SPP1,0.0000000012,44.5,397,533,1,0,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TM-SPP1,TM-SPP1,0.0000000012,44.5,520,719,0,0,0
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787260.1,TM-SPP1,TM-SPP1,0.0000000012,44.5,684,880,0,0,0
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001787312.1,TM-P2,TM-P2,0.61,18.2,183,385,0,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788012.1,TM-P2,TM-P2,0.31,19.2,79,149,1,0,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788012.1,TM-P2,TM-P2,0.31,19.2,138,281,0,0,0
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788012.1,TIGR01760,TIGR01760,0.0035,24.7,97,281,0,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788348.1,TM-SPP1,TM-SPP1,0.019,20.6,5,141,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788348.1,TM-SPP1,TM-SPP1,0.019,20.6,236,336,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788348.1,TM-SPP1,TM-SPP1,0.019,20.6,343,455,1,1,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788348.1,U_TM_TP-C,U_TM_TP-C,0.0023,26.5,175,214,1,0,1
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788348.1,U_TM_TP-C,U_TM_TP-C,0.0023,26.5,349,391,0,0,0
,,Clostridium botulinum A3 str. Loch Maree,0,0,NC_010520,YP_001788348.1,U_TM_TP-C,U_TM_TP-C,0.0023,26.5,398,436,0,0,0
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001790604.1,U_TM_T4-PMH1,U_TM_T4-PMH1,7.4,14.7,97,235,0,0,0
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001790754.1,TM_Fam9,TM_Fam9,1.3,17.4,139,162,0,0,0
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001790865.1,U_TM_ViI,U_TM_ViI,9.5,13.1,110,391,0,0,0
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001790972.1,TM_Fam12,TM_Fam12,2.2,16.2,172,199,0,1,1
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001791266.1,TM-Lam,TM-Lam,0,242.8,94,303,1,1,1
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001791266.1,TM_Fam3,TM_Fam3,0.000000066,41.1,820,1011,1,1,1
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001791266.1,TM_Fam3,TM_Fam3,0.000000066,41.1,1016,1042,1,0,1
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001791266.1,U_TM-PNJ,U_TM-PNJ,3.50E-28,105.6,99,185,0,0,0
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001791266.1,U_TM_CT-IMP,U_TM_CT-IMP,0.00000002,41.8,954,1004,0,0,0
,,Leptothrix cholodnii SP-6,0,0,NC_010524,YP_001792069.1,TM_Fam16,TM_Fam16,1.20E-17,71.7,499,541,0,1,1
,,Corynebacterium urealyticum DSM 7109,0,0,NC_010545,YP_001799864.1,U_TM_CT-DMS3,U_TM_CT-DMS3,0.43,18.7,7,20,1,0,1
,,Corynebacterium urealyticum DSM 7109,0,0,NC_010545,YP_001799864.1,U_TM_CT-DMS3,U_TM_CT-DMS3,0.43,18.7,18,47,0,0,0
,,Corynebacterium urealyticum DSM 7109,0,0,NC_010545,YP_001799864.1,U_TM_CT-DMS3,U_TM_CT-DMS3,0.43,18.7,52,75,0,1,1
,,Corynebacterium urealyticum DSM 7109,0,0,NC_010545,YP_001800820.1,TIGR02675,TIGR02675,0.00012,30.4,149,220,1,0,1
,,Corynebacterium urealyticum DSM 7109,0,0,NC_010545,YP_001800820.1,U_TM_TP-C,U_TM_TP-C,8,15.1,530,575,0,0,0
,,Corynebacterium urealyticum DSM 7109,0,0,NC_010545,YP_001800820.1,U_TM_TP-C,U_TM_TP-C,8,15.1,906,939,0,0,0
,,Exiguobacterium sibiricum 255-15,0,0,NC_010556,YP_001814297.1,U_TM_T4-CPX,U_TM_T4-CPX,1.1,15.6,76,165,0,1,1
,,Opitutus terrae PB90-1,0,0,NC_010571,YP_001818516.1,TM_Fam9,TM_Fam9,9.7,14.6,11,20,1,0,1
,,Opitutus terrae PB90-1,0,0,NC_010571,YP_001818516.1,TM_Fam9,TM_Fam9,9.7,14.6,21,38,0,0,0
,,Opitutus terrae PB90-1,0,0,NC_010571,YP_001818516.1,TM_Fam9,TM_Fam9,9.7,14.6,47,66,0,1,1
,,Opitutus terrae PB90-1,0,0,NC_010571,YP_001819817.1,TM-P2,TM-P2,0.047,21.9,30,96,1,1,1
,,Opitutus terrae PB90-1,0,0,NC_010571,YP_001819817.1,TM-P2,TM-P2,0.047,21.9,84,164,1,1,1
,,Opitutus terrae PB90-1,0,0,NC_010571,YP_001819817.1,TM-P2,TM-P2,0.047,21.9,152,315,1,0,1
,,Opitutus terrae PB90-1,0,0,NC_010571,YP_001819817.1,TM-P2,TM-P2,0.047,21.9,437,546,0,0,0
,,Opitutus terrae PB90-1,0,0,NC_010571,YP_001819817.1,TM-P2,TM-P2,0.047,21.9,509,660,0,0,0
,,Opitutus terrae PB90-1,0,0,NC_010571,YP_001820310.1,TM_Fam1,TM_Fam1,0.000038,31.7,12,258,0,1,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam15,TM_Fam15,2.80E-17,70.4,90,125,1,1,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam15,TM_Fam15,2.80E-17,70.4,386,396,1,1,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam12,TM_Fam12,0.0000027,35.1,7,19,1,1,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam12,TM_Fam12,0.0000027,35.1,1037,1070,1,1,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam14,TM_Fam14,1.50E-20,81.6,62,125,1,1,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam10,TM_Fam10,0.0000000069,43.8,7,20,1,1,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam10,TM_Fam10,0.0000000069,43.8,1033,1070,1,1,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam7,TM_Fam7,0.000024,32.5,7,18,1,1,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam7,TM_Fam7,0.000024,32.5,1034,1065,1,0,1
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam9,TM_Fam9,0.69,18.2,1037,1065,0,0,0
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001823582.1,TM_Fam5,TM_Fam5,0.002,26.3,1037,1065,0,0,0
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001824370.1,TM-SPP1,TM-SPP1,0.097,18.3,90,302,0,0,0
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001824370.1,U_TM_CT-IMP,U_TM_CT-IMP,0.31,18.9,313,349,0,0,0
,,Streptomyces griseus subsp. griseus NBRC 13350,0,0,NC_010572,YP_001826106.1,TIGR02675,TIGR02675,7.5,15,336,384,0,1,1
,,Lactococcus phage 1706,Lactococcus lactis,pos,NC_010576,YP_001828666.1,U_TM_TP-C,U_TM_TP-C,0.27,19.8,729,767,1,1,1
,,Lactococcus phage 1706,Lactococcus lactis,pos,NC_010576,YP_001828666.1,U_TM_TP-C,U_TM_TP-C,0.27,19.8,1331,1366,1,0,1
,,Lactococcus phage 1706,Lactococcus lactis,pos,NC_010576,YP_001828666.1,U_TM_TP-C,U_TM_TP-C,0.27,19.8,1395,1454,0,0,0
,,Lactococcus phage 1706,Lactococcus lactis,pos,NC_010576,YP_001828666.1,U_TM_TP-C,U_TM_TP-C,0.27,19.8,1763,1834,0,0,0
,,Xylella fastidiosa M23,0,0,NC_010577,YP_001829346.1,U_TM_T4-PSSM2,U_TM_T4-PSSM2,0.99,16.8,63,159,0,1,1
,,Xylella fastidiosa M23,0,0,NC_010577,YP_001829727.1,TM-P2,TM-P2,0.3,19.2,9,161,1,1,1
,,Xylella fastidiosa M23,0,0,NC_010577,YP_001829727.1,TM-P2,TM-P2,0.3,19.2,415,578,1,0,1
,,Xylella fastidiosa M23,0,0,NC_010577,YP_001829727.1,TM_Fam1,TM_Fam1,3.50E-42,153.2,1,249,0,0,0
,,Xylella fastidiosa M23,0,0,NC_010577,YP_001829727.1,TM_Fam1,TM_Fam1,3.50E-42,153.2,338,582,0,0,0
,,Xylella fastidiosa M23,0,0,NC_010577,YP_001829857.1,TM-P2,TM-P2,1.30E-28,108.6,160,373,0,0,0
,,Xylella fastidiosa M23,0,0,NC_010577,YP_001829857.1,TIGR01760,TIGR01760,0,215.6,115,483,0,1,1
,,Xylella fastidiosa M23,0,0,NC_010577,YP_001829961.1,TM-P2,TM-P2,0.3,19.2,9,161,1,1,1
