,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,31
,,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001376164.1,TT_Fam15,TT_Fam15,0,176.6,3,189,0,0,0,
,,Anaeromyxobacter sp. Fw109-5,0,0,NC_009675,YP_001378927.1,TT_Fam1,TT_Fam1,8.6,13.9,98,186,0,1,1,
,,Anaeromyxobacter sp. Fw109-5,0,0,NC_009675,YP_001379604.1,TT_Fam23,TT_Fam23,0.61,18.2,228,294,1,0,1,
,,Anaeromyxobacter sp. Fw109-5,0,0,NC_009675,YP_001379604.1,TT_Fam23,TT_Fam23,0.61,18.2,367,439,0,0,0,
,,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001383987.1,TT_Fam1,TT_Fam1,0.36,18.4,184,277,0,1,1,
,,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001384744.1,Phage_tail,Phage_tail,2.7,15.6,22,163,1,0,1,
,,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001384744.1,TIGR01603,TIGR01603,3.70E-34,126.4,1,190,0,1,1,
,,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001385261.1,Phage_tail,Phage_tail,7.2,14.2,17,182,1,0,1,
,,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001385261.1,TIGR01603,TIGR01603,3.60E-30,113.4,1,190,0,0,0,
,,Clostridium botulinum A str. Hall,0,0,NC_009698,YP_001387531.1,TT_Fam1,TT_Fam1,0.36,18.4,184,277,0,0,0,
,,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001390985.1,TT_Fam1,TT_Fam1,0.027,22.1,275,370,0,1,1,
,,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391150.1,Phage_tail,Phage_tail,0.0017,26,15,187,1,0,1,
,,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391150.1,TIGR01603,TIGR01603,7.10E-32,119,1,184,0,0,0,
,,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391648.1,DUF2001,DUF2001,0,177.7,1,146,0,1,1,
,,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001392474.1,Phage_tail,Phage_tail,5.3,14.6,24,153,1,0,1,
,,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001392474.1,TIGR01603,TIGR01603,7.20E-35,128.7,1,190,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001393554.1,DUF2001,DUF2001,4.8,15.4,44,170,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001395245.1,DUF2001,DUF2001,9.81E-45,160.2,1,133,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001395336.1,DUF2001,DUF2001,5.30E-42,151.4,1,133,0,1,1,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396017.1,Phage_tail,Phage_tail,1.3,16.7,1,170,1,0,1,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396017.1,TIGR01603,TIGR01603,2.10E-26,101.1,1,193,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396635.1,DUF2001,DUF2001,3.80E-43,155.1,1,131,0,0,0,
,,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396996.1,TT_Fam19,TT_Fam19,7,14.3,33,97,0,0,0,
,,Campylobacter hominis ATCC BAA-381,0,0,NC_009714,YP_001405880.1,TT_Fam14,TT_Fam14,0,268.1,3,301,0,1,1,
,,Campylobacter curvus 525.92,0,0,NC_009715,YP_001408188.1,TT_Fam7,TT_Fam7,7.2,14.9,539,601,1,0,1,
,,Campylobacter curvus 525.92,0,0,NC_009715,YP_001408188.1,TT_Fam7,TT_Fam7,7.2,14.9,676,747,0,1,1,
,,Parvibaculum lavamentivorans DS-1,0,0,NC_009719,YP_001412191.1,Phage_tail_2,Phage_tail_2,1.80E-36,133.6,3,134,1,0,1,
,,Parvibaculum lavamentivorans DS-1,0,0,NC_009719,YP_001412191.1,TIGR02126,TIGR02126,1.80E-30,114.1,1,130,0,0,0,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001417032.1,DUF3277,DUF3277,3.8,15.4,34,102,0,1,1,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418048.1,Phage_tail_2,Phage_tail_2,3.60E-38,139.1,3,132,1,0,1,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418048.1,TIGR02126,TIGR02126,7.70E-32,118.5,1,128,0,1,1,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418525.1,DUF3277,DUF3277,0,192.3,1,138,1,0,1,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418525.1,TT_Fam10,TT_Fam10,0.0015,26.8,20,131,0,0,0,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418599.1,CF-HK97,CF-HK97,8.5,14.2,23,134,0,0,0,
,,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001419367.1,Tail_tube,Tail_tube,0.000002,35.9,1,118,0,0,0,
,,Bacillus amyloliquefaciens FZB42,0,0,NC_009725,YP_001421025.1,Phage_tail_2,Phage_tail_2,0.62,18.6,65,183,0,1,1,
,,Bacillus amyloliquefaciens FZB42,0,0,NC_009725,YP_001422004.1,TT_Fam10,TT_Fam10,0.92,17.8,5,44,1,0,1,
,,Bacillus amyloliquefaciens FZB42,0,0,NC_009725,YP_001422004.1,TT_Fam10,TT_Fam10,0.92,17.8,45,143,0,1,1,
,,Staphylococcus phage tp310-2,Staphylococcus aureus,pos,NC_009762,YP_001429948.1,Phage_tail,Phage_tail,0,53,27,202,1,0,1,
,,Staphylococcus phage tp310-2,Staphylococcus aureus,pos,NC_009762,YP_001429948.1,TIGR01603,TIGR01603,1.30E-18,75.7,7,199,0,0,0,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001432909.1,Phage_T4_gp19,Phage_T4_gp19,0,165.6,9,140,0,0,0,
,,Roseiflexus castenholzii DSM 13941,0,0,NC_009767,YP_001432911.1,Phage_T4_gp19,Phage_T4_gp19,2.90E-39,142.2,9,143,0,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437139.1,Phage_tail_2,Phage_tail_2,0.21,20.1,11,143,1,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437139.1,TT_Fam2,TT_Fam2,5.40E-19,77.1,1,111,1,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437139.1,TT_Fam2,TT_Fam2,5.40E-19,77.1,108,150,1,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437139.1,TT_Fam4,TT_Fam4,0.0000044,34.9,1,34,1,0,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437139.1,TT_Fam4,TT_Fam4,0.0000044,34.9,19,141,0,0,0,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437728.1,TT_Fam1,TT_Fam1,0.00088,26.9,1,82,0,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001438400.1,CF-HK97,CF-HK97,7,14.5,26,162,1,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001438400.1,TT_Fam2,TT_Fam2,7.9,14.7,16,167,1,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001438400.1,TT_Fam1,TT_Fam1,0.38,18.3,4,70,1,0,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001438400.1,TT_Fam1,TT_Fam1,0.38,18.3,66,168,0,1,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001439104.1,Phage_tail_2,Phage_tail_2,0.008,24.7,11,153,1,0,1,
,,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001439104.1,TT_Fam7,TT_Fam7,0.007,24.7,16,160,0,1,1,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001440596.1,TT_Fam16,TT_Fam16,3.1,16.1,335,383,1,0,1,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001440596.1,TT_Fam16,TT_Fam16,3.1,16.1,717,802,0,1,1,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001441483.1,Phage_tail_2,Phage_tail_2,6.70E-22,86.5,4,141,1,0,1,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001441483.1,TIGR02126,TIGR02126,0,52.7,3,137,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001442533.1,TIGR01603,TIGR01603,0,223.3,10,203,0,1,1,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001442779.1,Tail_tube,Tail_tube,1.1,17.5,4,48,1,0,1,
,,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001442779.1,Tail_tube,Tail_tube,1.1,17.5,70,134,0,1,1,
,,Enterobacteria phage BP-4795,Escherichia coli,neg,NC_004813,YP_001449301.1,Phage_tail_2,Phage_tail_2,0.031,22.8,79,185,1,1,1,
,,Enterobacteria phage BP-4795,Escherichia coli,neg,NC_004813,YP_001449301.1,TT_Fam2,TT_Fam2,0.000000024,42.4,47,191,1,0,1,
,,Enterobacteria phage BP-4795,Escherichia coli,neg,NC_004813,YP_001449301.1,TT_Fam4,TT_Fam4,0.00016,29.8,54,188,0,1,1,
,,Streptococcus gordonii str. Challis substr. CH1,0,0,NC_009785,YP_001450571.1,TT_Fam5,TT_Fam5,9.1,15,5,90,1,1,1,
,,Streptococcus gordonii str. Challis substr. CH1,0,0,NC_009785,YP_001450571.1,TT_Fam5,TT_Fam5,9.1,15,102,143,1,0,1,
,,Streptococcus gordonii str. Challis substr. CH1,0,0,NC_009785,YP_001450571.1,TT_Fam5,TT_Fam5,9.1,15,141,177,0,1,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453034.1,TT_Fam9,TT_Fam9,9.5,14.6,107,158,1,0,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453034.1,TT_Fam9,TT_Fam9,9.5,14.6,163,241,0,1,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453419.1,TT_Fam9,TT_Fam9,0.00005,31.7,28,79,1,1,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453419.1,TT_Fam9,TT_Fam9,0.00005,31.7,163,305,1,1,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453419.1,TT_Fam9,TT_Fam9,0.00005,31.7,318,383,1,1,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453419.1,TT_Fam5,TT_Fam5,0.00000003,42.3,37,159,1,1,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453419.1,TT_Fam5,TT_Fam5,0.00000003,42.3,192,305,1,0,1,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453419.1,TT_Fam1,TT_Fam1,0.0013,26.4,281,385,0,0,0,
,,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001455104.1,TT_Fam17,TT_Fam17,4.6,15.4,41,95,0,0,0,
,,Corynebacterium phage BFK20,Brevibacterium flavum,pos,NC_009799,YP_001456742.1,TT_Fam6,TT_Fam6,5.30E-33,122.8,2,186,0,0,0,
,,Escherichia coli HS,0,0,NC_009800,YP_001457680.1,Phage_tube,Phage_tube,0,221.4,2,171,0,0,0,
,,Escherichia coli E24377A,0,0,NC_009801,YP_001463280.1,Phage_tube,Phage_tube,1.90E-24,94.5,4,168,0,0,0,
,,Thermus phage P23-45,Thermus thermophilus,neg,NC_009803,YP_001467947.1,TT_Fam5,TT_Fam5,4.60E-33,122.3,213,346,0,0,0,
,,Thermus phage P74-26,Thermus thermophilus,neg,NC_009804,YP_001468063.1,TT_Fam5,TT_Fam5,4.60E-33,122.3,213,346,0,0,0,
,,Listeria phage A500,Listeria monocytogenes,pos,NC_009810,YP_001468398.1,TT_Fam7,TT_Fam7,4.20E-45,161.6,1,145,0,0,0,
,,Listeria phage A500,Listeria monocytogenes,pos,NC_009810,YP_001468399.1,TT_Fam1,TT_Fam1,0.087,20.4,1,78,0,0,0,
,,Listeria phage A511,Listeria monocytogenes,pos,NC_009811,YP_001468474.1,TT_Fam21,TT_Fam21,0,240,1,138,0,1,1,
,,Listeria phage B025,Listeria monocytogenes,pos,NC_009812,YP_001468650.1,Phage_tail,Phage_tail,0.000000002,45.4,1,188,1,0,1,
,,Listeria phage B025,Listeria monocytogenes,pos,NC_009812,YP_001468650.1,TIGR01603,TIGR01603,1.50E-19,78.7,2,173,0,1,1,
,,Listeria phage B054,Listeria monocytogenes,pos,NC_009813,YP_001468719.1,DUF3277,DUF3277,0.14,20.2,5,127,1,1,1,
,,Listeria phage B054,Listeria monocytogenes,pos,NC_009813,YP_001468719.1,TT_Fam13,TT_Fam13,5.9,14.6,3,111,1,0,1,
,,Listeria phage B054,Listeria monocytogenes,pos,NC_009813,YP_001468719.1,TT_Fam10,TT_Fam10,2.80E-40,145.7,1,132,0,0,0,
,,Listeria phage P35,Listeria monocytogenes,pos,NC_009814,YP_001468795.1,TT_Fam15,TT_Fam15,0,203.2,5,199,0,1,1,
,,Listeria phage A006,Listeria monocytogenes,pos,NC_009815,YP_001468852.1,TT_Fam7,TT_Fam7,3.60E-31,116.5,1,142,1,1,1,
,,Listeria phage A006,Listeria monocytogenes,pos,NC_009815,YP_001468852.1,TT_Fam7,TT_Fam7,3.60E-31,116.5,145,203,1,0,1,
,,Listeria phage A006,Listeria monocytogenes,pos,NC_009815,YP_001468852.1,TT_Fam7,TT_Fam7,3.60E-31,116.5,176,223,0,1,1,
,,Corynebacterium phage P1201,Corynebacterium glutamicum,pos,NC_009816,YP_001468940.1,TT_Fam6,TT_Fam6,4.90E-24,93.6,1,193,1,0,1,
,,Corynebacterium phage P1201,Corynebacterium glutamicum,pos,NC_009816,YP_001468940.1,TT_Fam8,TT_Fam8,0.0077,24.2,8,171,0,0,0,
,,Lactococcus phage KSY1,Lactococcus lactis,pos,NC_009817,YP_001469054.1,TT_Fam1,TT_Fam1,0.00000053,37.5,56,166,0,0,0,
,,Pseudomonas phage MP22,Pseudomonas aeruginosa UCBPP-PA14,neg,NC_009818,YP_001469168.1,TT_Fam3,TT_Fam3,0,259.5,4,236,0,1,1,
,,Streptococcus phage P9,Streptococcus equi,pos,NC_009819,YP_001469217.1,Phage_tail_2,Phage_tail_2,5.20E-32,119.2,17,165,1,0,1,
,,Streptococcus phage P9,Streptococcus equi,pos,NC_009819,YP_001469217.1,TIGR02126,TIGR02126,0,167.7,15,161,0,0,0,
,,Mycobacterium phage Tweety,Mycobacterium smegmatis,myc,NC_009820,YP_001469244.1,TT_Fam20,TT_Fam20,0,580.6,1,269,0,0,0,
,,Enterobacteria phage Phi1,Escherichia coli K-12 (F+),neg,NC_009821,YP_001469473.1,Phage_T4_gp19,Phage_T4_gp19,0.0000000094,43.5,9,162,0,0,0,
,,Enterobacteria phage Phi1,Escherichia coli K-12 (F+),neg,NC_009821,YP_001469500.1,Phage_T4_gp19,Phage_T4_gp19,0.0000000036,44.8,19,164,0,0,0,
,,Enterobacteria phage Phi1,Escherichia coli K-12 (F+),neg,NC_009821,YP_001469528.1,Phage_T4_gp19,Phage_T4_gp19,0.000000087,40.3,126,251,0,0,0,
,,Shewanella sediminis HAW-EB3,0,0,NC_009831,YP_001472405.1,TT_Fam1,TT_Fam1,0.87,17.1,26,108,0,0,0,
,,Serratia proteamaculans 568,0,0,NC_009832,YP_001477096.1,Phage_tube,Phage_tube,0,230.3,2,169,0,1,1,
,,Serratia proteamaculans 568,0,0,NC_009832,YP_001480937.1,Tail_tube,Tail_tube,2.5,16.3,51,103,1,0,1,
,,Serratia proteamaculans 568,0,0,NC_009832,YP_001480937.1,Tail_tube,Tail_tube,2.5,16.3,172,279,0,0,0,
,,Bacillus pumilus SAFR-032,0,0,NC_009848,YP_001487448.1,CF-HK97,CF-HK97,2.4,16,18,98,0,0,0,
,,Bacillus pumilus SAFR-032,0,0,NC_009848,YP_001487976.1,DUF2001,DUF2001,0,183.3,1,141,0,0,0,
,,Arcobacter butzleri RM4018,0,0,NC_009850,YP_001489876.1,TT_Fam7,TT_Fam7,4.2,15.6,107,206,0,0,0,
,,Arcobacter butzleri RM4018,0,0,NC_009850,YP_001490573.1,Phage_tube,Phage_tube,0,66,1,162,0,0,0,
,,Mycobacterium phage U2,0,myc,NC_009877,YP_001491589.1,TT_Fam16,TT_Fam16,0.0039,25.5,5,130,0,0,0,
,,Mycobacterium phage U2,0,myc,NC_009877,YP_001491591.1,TT_Fam8,TT_Fam8,0,231,1,191,0,0,0,
,,Mycobacterium phage Bethlehem,0,myc,NC_009878,YP_001491670.1,TT_Fam16,TT_Fam16,0.0039,25.5,5,130,0,0,0,
,,Mycobacterium phage Bethlehem,0,myc,NC_009878,YP_001491672.1,TT_Fam8,TT_Fam8,0,234.1,1,191,0,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,1496,1625,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,1650,1733,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,1757,1839,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,1864,1947,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,1971,2053,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,2078,2161,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,2185,2268,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,2292,2375,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,2399,2482,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,2506,2588,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,2613,2696,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,2720,2803,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,2827,2910,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,2934,3016,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,3041,3124,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,3148,3230,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,3255,3338,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,3362,3445,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,3469,3552,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,3576,3658,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,3683,3765,1,1,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,3790,3873,1,0,1,
,,Shewanella pealeana ATCC 700345,0,0,NC_009901,YP_001500231.1,TT_Fam10,TT_Fam10,0.00000000011,49.9,3897,3978,0,0,0,
,,Enterococcus phage phiEF24C,Enterococcus faecalis,pos,NC_009904,YP_001504133.1,TT_Fam21,TT_Fam21,0,217.9,1,138,0,1,1,
,,Enterococcus phage phiEF24C,Enterococcus faecalis,pos,NC_009904,YP_001504177.1,TT_Fam1,TT_Fam1,0.000014,32.8,125,229,1,0,1,
,,Enterococcus phage phiEF24C,Enterococcus faecalis,pos,NC_009904,YP_001504177.1,TT_Fam1,TT_Fam1,0.000014,32.8,227,313,0,0,0,
,,Frankia sp. EAN1pec,0,0,NC_009921,YP_001508116.1,Phage_T4_gp19,Phage_T4_gp19,9.10E-36,130.9,9,144,0,0,0,
,,Frankia sp. EAN1pec,0,0,NC_009921,YP_001508119.1,Phage_T4_gp19,Phage_T4_gp19,9.10E-28,105,40,173,0,0,0,
,,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001514672.1,Phage_T4_gp19,Phage_T4_gp19,0,54.8,11,163,0,0,0,
,,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001514673.1,Phage_T4_gp19,Phage_T4_gp19,0.00000072,37.4,6,157,0,0,0,
,,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001514674.1,Phage_T4_gp19,Phage_T4_gp19,4.90E-27,102.6,1,128,0,0,0,
,,Acaryochloris marina MBIC11017,0,0,NC_009925,YP_001520166.1,Phage_T4_gp19,Phage_T4_gp19,5.40E-36,131.6,14,155,0,1,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001524034.1,Phage_tail_2,Phage_tail_2,5.70E-37,135.2,3,132,1,0,1,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001524034.1,TIGR02126,TIGR02126,1.40E-31,117.7,1,128,0,0,0,
,,Azorhizobium caulinodans ORS 571,0,0,NC_009937,YP_001525079.1,Phage_tube,Phage_tube,0,60.9,1,170,0,1,1,
,,Dinoroseobacter shibae DFL 12,0,0,NC_009952,YP_001533507.1,Phage_tail_2,Phage_tail_2,3.40E-38,139.2,3,134,1,0,1,
,,Dinoroseobacter shibae DFL 12,0,0,NC_009952,YP_001533507.1,TIGR02126,TIGR02126,1.70E-22,88.3,1,130,0,0,0,
,,Dinoroseobacter shibae DFL 12,0,0,NC_009952,YP_001533799.1,Phage_T4_gp19,Phage_T4_gp19,1.20E-39,143.4,7,146,0,0,0,
,,Dinoroseobacter shibae DFL 12,0,0,NC_009952,YP_001533800.1,Phage_T4_gp19,Phage_T4_gp19,6.90E-38,137.8,15,148,0,0,0,
,,Dinoroseobacter shibae DFL 12,0,0,NC_009952,YP_001533897.1,Phage_T4_gp19,Phage_T4_gp19,1.90E-30,113.7,17,158,0,0,0,
,,Herpetosiphon aurantiacus DSM 785,0,0,NC_009972,YP_001543278.1,Tail_tube,Tail_tube,3.6,15.8,258,338,0,1,1,
,,Herpetosiphon aurantiacus DSM 785,0,0,NC_009972,YP_001543328.1,TT_Fam6,TT_Fam6,0.000059,31.4,1,181,1,0,1,
,,Herpetosiphon aurantiacus DSM 785,0,0,NC_009972,YP_001543328.1,TT_Fam8,TT_Fam8,0.00089,27.2,1,194,0,1,1,
,,Herpetosiphon aurantiacus DSM 785,0,0,NC_009972,YP_001544145.1,TT_Fam6,TT_Fam6,0.0000054,34.8,1,181,1,0,1,
,,Herpetosiphon aurantiacus DSM 785,0,0,NC_009972,YP_001544145.1,TT_Fam8,TT_Fam8,0.000079,30.7,1,194,0,0,0,
,,Mycobacterium phage Giles,Mycobacterium smegmatis,myc,NC_009993,YP_001552344.1,TT_Fam6,TT_Fam6,1.2,17.4,1,169,0,0,0,
,,Shewanella baltica OS195,0,0,NC_009997,YP_001553230.1,TT_Fam3,TT_Fam3,6.50E-19,76.9,13,220,0,0,0,
,,Shewanella baltica OS195,0,0,NC_009997,YP_001554577.1,TT_Fam3,TT_Fam3,0.00000071,37.5,6,232,0,0,0,
,,Shewanella baltica OS195,0,0,NC_009997,YP_001555320.1,Phage_tube,Phage_tube,0,220.7,2,171,0,0,0,
,,Shewanella baltica OS195,0,0,NC_009997,YP_001555777.1,TT_Fam14,TT_Fam14,6.5,14.2,188,243,0,0,0,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001557912.1,DUF2001,DUF2001,1.40E-45,163.5,1,149,0,1,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,417,546,1,1,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,515,636,1,1,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,635,721,1,1,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,720,806,1,1,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,801,885,1,1,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,879,969,1,1,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,967,1053,1,1,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,1029,1137,1,1,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,1135,1221,1,0,1,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001559600.1,TT_Fam1,TT_Fam1,0.23,19,1181,1294,0,0,0,
,,Clostridium phytofermentans ISDg,0,0,NC_010001,YP_001560053.1,DUF2001,DUF2001,0,167.7,1,148,0,0,0,
,,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001562357.1,TT_Fam14,TT_Fam14,0,356.2,4,308,0,1,1,
,,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001562668.1,CF-HK97,CF-HK97,0.13,20.2,56,211,1,1,1,
,,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001562668.1,TT_Fam2,TT_Fam2,0,52.1,80,173,1,1,1,
,,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001562668.1,TT_Fam2,TT_Fam2,0,52.1,169,215,1,0,1,
,,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001562668.1,TT_Fam4,TT_Fam4,0,264.6,2,217,0,0,0,
,,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001563614.1,Phage_tube,Phage_tube,0,225.6,2,169,0,0,0,
,,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001563648.1,Phage_tube,Phage_tube,0,225.6,2,169,0,1,1,
,,Delftia acidovorans SPH-1,0,0,NC_010002,YP_001564270.1,CF-HK97,CF-HK97,1.60E-38,140.2,64,228,1,0,1,
