Species,Host,GC,Gstain,Prot RefSeq,Hmm ID,Name,E value,Score,Start,Stop,Duplicate,DD,
Staphylococcus phage phiMR25,Staphylococcus aureus,pos,NC_010808,YP_001949853.1,TH_Fam2,TH_Fam2,3.5,15.7,15,95,0,0,0
Chlorobium phaeobacteroides BS1,0,0,NC_010831,YP_001959727.1,U_TH_T4,U_TH_T4,4.7,15.2,2,31,0,0,0
Actinobacillus pleuropneumoniae serovar 7 str. AP76,0,0,NC_010939,YP_001968292.1,DUF4035,DUF4035,1.10E-18,74.7,25,83,0,0,0
Stenotrophomonas maltophilia K279a,0,0,NC_010943,YP_001970220.1,Phage_P2_GpE,Phage_P2_GpE,3.60E-16,66.7,1,38,0,0,0
Streptococcus phage PH15,Streptococcus gordonii,pos,NC_010945,YP_001974372.1,Phage_Gp15,Phage_Gp15,0,185.8,2,183,0,1,1
Wolbachia endosymbiont of Culex quinquefasciatus Pel,Culex quinquefasciatus Pel,0,NC_010981,YP_001975763.1,U_RealTestIII,U_RealTestIII,2.20E-21,84.8,4,226,1,0,1
Wolbachia endosymbiont of Culex quinquefasciatus Pel,Culex quinquefasciatus Pel,0,NC_010981,YP_001975763.1,U_RealTestIII,U_RealTestIII,2.20E-21,84.8,257,460,0,0,0
Wolbachia endosymbiont of Culex quinquefasciatus Pel,Culex quinquefasciatus Pel,0,NC_010981,YP_001975790.1,U_RealTestIII,U_RealTestIII,3.40E-19,77.6,4,387,0,0,0
Lactobacillus casei BL23,0,0,NC_010999,YP_001986937.1,TH_Fam10,TH_Fam10,5.80E-40,143.2,1,53,0,0,0
Lactobacillus casei BL23,0,0,NC_010999,YP_001987062.1,TH_Fam10,TH_Fam10,5.80E-40,143.2,1,53,0,0,0
Lactobacillus casei BL23,0,0,NC_010999,YP_001987280.1,TH_Fam2,TH_Fam2,5.00E-15,63.3,19,105,0,0,0
Rhodopseudomonas palustris TIE-1,0,0,NC_011004,YP_001992324.1,DUF1799,DUF1799,1.40E-11,52.3,14,108,0,0,0
Mycobacterium phage KBG,0,myc,NC_011019,YP_001994481.1,TH_Fam5,TH_Fam5,3.20E-32,119.9,185,300,0,0,0
Mycobacterium phage Jasper,0,myc,NC_011020,YP_001994570.1,TH_Fam5,TH_Fam5,7.40E-33,122,151,266,0,0,0
Mycobacterium phage Lockley,0,myc,NC_011021,YP_001994663.1,TH_Fam5,TH_Fam5,9.50E-33,121.6,184,299,0,0,0
Mycobacterium phage DD5,0,myc,NC_011022,YP_001994754.1,TH_Fam5,TH_Fam5,9.70E-33,121.6,184,299,0,0,0
Mycobacterium phage Pukovnik,0,myc,NC_011023,YP_001994843.1,TH_Fam5,TH_Fam5,1.60E-23,91.8,159,268,0,0,0
Chloroherpeton thalassium ATCC 35110,0,0,NC_011026,YP_001996745.1,TH_Fam11,TH_Fam11,9.1,14.6,20,85,0,0,0
Mycoplasma arthritidis 158L3-1,0,0,NC_011025,YP_001999953.1,Phage_P2_GpE,Phage_P2_GpE,2.6,15.9,1,25,0,0,0
Neisseria gonorrhoeae NCCP11945,0,0,NC_011035,YP_002002065.1,U_RealTestIII,U_RealTestIII,8.00E-22,86.3,6,340,0,0,0
Mycobacterium phage Nigel,Mycobacterium smegmatis,myc,NC_011044,YP_002003843.1,U_RealTestIII,U_RealTestIII,6.30E-22,86.6,91,463,0,0,0
Mycobacterium phage Boomer,0,myc,NC_011054,YP_002014230.1,TH_Fam5,TH_Fam5,0,187.7,16,167,0,0,0
Mycobacterium phage Phaedrus,0,myc,NC_011057,YP_002014616.1,U_RealTestIII,U_RealTestIII,4.50E-18,73.9,96,467,0,1,1
Streptococcus pneumoniae G54,0,0,NC_011072,YP_002037498.1,TH_Fam2,TH_Fam2,6.7,14.8,2,73,1,0,1
Streptococcus pneumoniae G54,0,0,NC_011072,YP_002037498.1,TH_Fam2,TH_Fam2,6.7,14.8,89,141,0,1,1
Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002040242.1,Phage_tail_T,Phage_tail_T,3.20E-25,96.9,1,87,1,0,1
Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002040242.1,TIGR01715,TIGR01715,1.80E-34,126.5,1,87,0,1,1
Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002041859.1,Phage_tail_T,Phage_tail_T,1.90E-40,145.8,1,89,1,0,1
Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002041859.1,TIGR01715,TIGR01715,2.30E-34,126.1,1,87,0,0,0
Salmonella enterica subsp. enterica serovar Newport str. SL254,0,0,NC_011080,YP_002043459.1,Phage_P2_GpE,Phage_P2_GpE,0.00012,29.7,1,39,0,1,1
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,0,0,NC_011083,YP_002045044.1,Phage_tail_T,Phage_tail_T,3.20E-25,96.9,1,87,1,0,1
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,0,0,NC_011083,YP_002045044.1,TIGR01715,TIGR01715,1.80E-34,126.5,1,87,0,0,0
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,0,0,NC_011083,YP_002048199.1,Phage_P2_GpE,Phage_P2_GpE,0.0012,26.6,1,39,0,1,1
Salmonella enterica subsp. enterica serovar Schwarzengrund str.,0,0,NC_011094,YP_002113666.1,Phage_tail_T,Phage_tail_T,1.90E-40,145.8,1,89,1,0,1
Salmonella enterica subsp. enterica serovar Schwarzengrund str.,0,0,NC_011094,YP_002113666.1,TIGR01715,TIGR01715,2.30E-34,126.1,1,87,0,0,0
Iodobacteriophage phiPLPE,Iodobacter sp. CdM7,neg,NC_011142,YP_002128452.1,U_RealTestIII,U_RealTestIII,3.30E-18,74.4,11,479,0,0,0
Salmonella enterica subsp. enterica serovar Paratyphi A str.,0,0,NC_011147,YP_002143227.1,Phage_P2_GpE,Phage_P2_GpE,4.50E-20,79.2,1,39,0,0,0
Salmonella enterica subsp. enterica serovar Agona str. SL483,0,0,NC_011149,YP_002149123.1,Phage_P2_GpE,Phage_P2_GpE,0.0012,26.6,1,39,0,0,0
Proteus mirabilis HI4320,0,0,NC_010554,YP_002150280.1,DUF1799,DUF1799,1.20E-24,94.3,10,87,0,0,0
Proteus mirabilis HI4320,0,0,NC_010554,YP_002150691.1,DUF4035,DUF4035,9.80E-22,84.5,24,82,0,0,0
Proteus mirabilis HI4320,0,0,NC_010554,YP_002151410.1,TH_Fam4,TH_Fam4,0.74,17.7,17,72,0,0,0
Bacillus phage IEBH,Bacillus thuringiensis,pos,NC_011167,YP_002154386.1,Phage_Gp15,Phage_Gp15,0,194.3,3,192,0,1,1
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,0,0,NC_011205,YP_002215251.1,Phage_tail_T,Phage_tail_T,3.20E-25,96.9,1,87,1,0,1
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,0,0,NC_011205,YP_002215251.1,TIGR01715,TIGR01715,1.80E-34,126.5,1,87,0,1,1
Bacteroides phage B40-8,Bacteroides fragilis HSP40 (ATCC 51477),neg,NC_011222,YP_002221576.1,U_RealTestIII,U_RealTestIII,0,170.8,1,131,1,0,1
Bacteroides phage B40-8,Bacteroides fragilis HSP40 (ATCC 51477),neg,NC_011222,YP_002221576.1,U_RealTestIII,U_RealTestIII,0,170.8,159,395,0,0,0
Mycobacterium phage Solon,0,myc,NC_011267,YP_002223963.1,TH_Fam5,TH_Fam5,6.30E-33,122.2,151,266,0,1,1
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,0,0,NC_011274,YP_002226259.1,Phage_tail_T,Phage_tail_T,3.20E-25,96.9,1,87,1,0,1
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,0,0,NC_011274,YP_002226259.1,TIGR01715,TIGR01715,1.80E-34,126.5,1,87,0,0,0
Klebsiella pneumoniae 342,0,0,NC_011283,YP_002239756.1,DUF4035,DUF4035,4.5,15.1,303,343,0,0,0
Mycobacterium phage Chah,0,myc,NC_011284,YP_002241312.1,U_RealTestIII,U_RealTestIII,1.80E-18,75.2,85,468,0,0,0
Mycobacterium phage Pacc40,0,myc,NC_011287,YP_002241596.1,TH_Fam5,TH_Fam5,0,181.4,160,311,0,0,0
Mycobacterium phage Fruitloop,0,myc,NC_011288,YP_002241697.1,TH_Fam5,TH_Fam5,0,177.9,160,311,0,0,0
Mycobacterium phage Ramsey,0,myc,NC_011289,YP_002241800.1,TH_Fam5,TH_Fam5,0,179,160,311,0,0,0
Mycobacterium phage Brujita,0,myc,NC_011291,YP_002241998.1,TH_Fam5,TH_Fam5,3.60E-33,123,1,120,0,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002269429.1,Phage_tail_T,Phage_tail_T,0,183,2,104,1,0,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002269429.1,TIGR01715,TIGR01715,4.20E-35,128.5,1,102,0,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002269687.1,Phage_tail_T,Phage_tail_T,1.70E-33,123.5,1,94,1,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002269687.1,Phage_tail_T,Phage_tail_T,1.70E-33,123.5,93,129,1,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002269687.1,TIGR01715,TIGR01715,0,171.3,1,92,1,0,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002269687.1,TIGR01715,TIGR01715,0,171.3,95,129,0,0,0
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270010.1,DUF4035,DUF4035,1.40E-21,83.9,1,53,0,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270086.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270086.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270086.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270086.1,TIGR01715,TIGR01715,0,189.1,113,144,0,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270231.1,Phage_tail_T,Phage_tail_T,1.40E-32,120.5,1,101,1,0,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270231.1,TIGR01715,TIGR01715,1.10E-42,152.9,1,100,0,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270296.1,Phage_tail_T,Phage_tail_T,5.10E-27,102.7,1,93,1,0,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270296.1,TIGR01715,TIGR01715,2.10E-37,135.9,1,92,0,0,0
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270558.1,DUF4035,DUF4035,1.40E-21,83.9,1,53,0,0,0
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002270611.1,DUF4035,DUF4035,8.30E-22,84.7,1,53,0,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271015.1,Phage_P2_GpE,Phage_P2_GpE,3.80E-17,69.8,10,49,1,0,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271015.1,TH_Fam1,TH_Fam1,1.9,16.6,4,41,0,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271103.1,Phage_tail_T,Phage_tail_T,1.70E-33,123.5,1,94,1,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271103.1,Phage_tail_T,Phage_tail_T,1.70E-33,123.5,93,129,1,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271103.1,TIGR01715,TIGR01715,0,171.3,1,92,1,0,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271103.1,TIGR01715,TIGR01715,0,171.3,95,129,0,0,0
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271199.1,DUF4035,DUF4035,1.40E-21,83.9,1,53,0,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271421.1,Phage_tail_T,Phage_tail_T,1.40E-32,120.5,1,101,1,0,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271421.1,TIGR01715,TIGR01715,1.10E-42,152.9,1,100,0,1,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271481.1,Phage_tail_T,Phage_tail_T,5.10E-27,102.7,1,93,1,0,1
Escherichia coli O157:H7 str. EC4115,0,0,NC_011353,YP_002271481.1,TIGR01715,TIGR01715,2.10E-37,135.9,1,92,0,0,0
Streptococcus pyogenes NZ131,0,0,NC_011375,YP_002286436.1,TH_Fam2,TH_Fam2,8.20E-13,56.2,21,109,0,1,1
Escherichia coli SE11,0,0,NC_011415,YP_002291881.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Escherichia coli SE11,0,0,NC_011415,YP_002291881.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Escherichia coli SE11,0,0,NC_011415,YP_002291881.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Escherichia coli SE11,0,0,NC_011415,YP_002291881.1,TIGR01715,TIGR01715,0,189.1,113,144,0,0,0
Escherichia coli SE11,0,0,NC_011415,YP_002292722.1,TH-EcoilSE11,TH-EcoilSE11,1.00E-40,145.6,17,77,0,1,1
Escherichia coli SE11,0,0,NC_011415,YP_002292925.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Escherichia coli SE11,0,0,NC_011415,YP_002292925.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Escherichia coli SE11,0,0,NC_011415,YP_002292925.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Escherichia coli SE11,0,0,NC_011415,YP_002292925.1,TIGR01715,TIGR01715,0,189.1,113,144,0,1,1
Escherichia coli SE11,0,0,NC_011415,YP_002293329.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Escherichia coli SE11,0,0,NC_011415,YP_002293329.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Escherichia coli SE11,0,0,NC_011415,YP_002293329.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Escherichia coli SE11,0,0,NC_011415,YP_002293329.1,TIGR01715,TIGR01715,0,189.1,113,144,0,1,1
Rhodospirillum centenum SW,0,0,NC_011420,YP_002299740.1,DUF1799,DUF1799,9,14.6,214,248,1,1,1
Rhodospirillum centenum SW,0,0,NC_011420,YP_002299740.1,DUF1799,DUF1799,9,14.6,255,300,1,0,1
Rhodospirillum centenum SW,0,0,NC_011420,YP_002299740.1,DUF1799,DUF1799,9,14.6,366,391,0,0,0
Shewanella piezotolerans WP3,0,0,NC_011566,YP_002313724.1,TH_Fam2,TH_Fam2,7.7,14.6,124,174,0,1,1
Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002318369.1,TH_Fam2,TH_Fam2,4.6,15.3,1,39,1,0,1
Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002318369.1,TH_Fam2,TH_Fam2,4.6,15.3,48,90,0,1,1
Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002318766.1,U_RealTestIII,U_RealTestIII,8.5,13.6,1,201,1,0,1
Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002318766.1,U_RealTestIII,U_RealTestIII,8.5,13.6,271,476,0,0,0
Acinetobacter baumannii AB0057,0,0,NC_011586,YP_002320044.1,U_RealTestIII,U_RealTestIII,3.40E-22,87.5,3,333,0,1,1
Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326228.1,U_RealTestIII,U_RealTestIII,8.5,13.6,1,201,1,0,1
Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326228.1,U_RealTestIII,U_RealTestIII,8.5,13.6,271,476,0,1,1
Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326596.1,TH_Fam2,TH_Fam2,4.6,15.3,1,39,1,0,1
Acinetobacter baumannii AB307-0294,0,0,NC_011595,YP_002326596.1,TH_Fam2,TH_Fam2,4.6,15.3,48,90,0,1,1
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328277.1,Phage_tail_T,Phage_tail_T,4.70E-38,138.1,1,102,1,1,1
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328277.1,Phage_tail_T,Phage_tail_T,4.70E-38,138.1,102,137,1,1,1
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328277.1,TIGR01715,TIGR01715,0,188.1,1,100,1,0,1
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328277.1,TIGR01715,TIGR01715,0,188.1,103,137,0,0,0
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328404.1,Phage_P2_GpE,Phage_P2_GpE,1.70E-20,80.5,1,39,0,1,1
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328593.1,Phage_tail_T,Phage_tail_T,0,182.8,6,108,1,0,1
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328593.1,TIGR01715,TIGR01715,3.30E-37,135.3,1,106,0,0,0
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002328970.1,DUF4035,DUF4035,2.90E-21,83,27,79,0,1,1
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002329355.1,Phage_P2_GpE,Phage_P2_GpE,1.10E-16,68.3,37,75,1,0,1
Escherichia coli O127:H6 str. E2348/69,0,0,NC_011601,YP_002329355.1,TH_Fam1,TH_Fam1,5.8,15,31,68,0,0,0
Staphylococcus phage phiSauS-IPLA88,Staphylococcus aureus,pos,NC_011614,YP_002332524.1,TH_Fam2,TH_Fam2,3.5,15.7,15,95,0,0,0
Bacillus cereus AH187,0,0,NC_011658,YP_002338614.1,TH-BGamma,TH-BGamma,7.7,15.1,49,108,0,0,0
Bacillus cereus AH187,0,0,NC_011658,YP_002341294.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,7,14.7,36,91,0,0,0
Neisseria meningitidis Z2491,0,0,NC_003116,YP_002343119.1,Phage_P2_GpE,Phage_P2_GpE,3.5,15.5,19,46,0,0,0
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,0,0,NC_002163,YP_002344631.1,U_RealTestIII,U_RealTestIII,1.8,15.9,2,200,0,0,0
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,0,0,NC_002163,YP_002344838.1,TH_Fam10,TH_Fam10,5.5,15.2,39,89,0,0,0
Yersinia pestis CO92,0,0,NC_003143,YP_002347096.1,DUF1799,DUF1799,4.20E-19,76.5,2,68,0,0,0
Listeria monocytogenes HCC23,0,0,NC_011660,YP_002351510.1,TH_Fam12,TH_Fam12,2.20E-14,61.8,1,118,0,0,0
Listeria monocytogenes HCC23,0,0,NC_011660,YP_002351937.1,Phage_Gp15,Phage_Gp15,0,250.8,3,197,0,1,1
Dictyoglomus turgidum DSM 6724,0,0,NC_011661,YP_002352895.1,U_TH_T4,U_TH_T4,4.5,15.2,88,108,1,0,1
Dictyoglomus turgidum DSM 6724,0,0,NC_011661,YP_002352895.1,U_TH_T4,U_TH_T4,4.5,15.2,167,211,0,0,0
Bacillus cereus B4264,0,0,NC_011725,YP_002367288.1,TH-BGamma,TH-BGamma,5.9,15.4,44,108,0,0,0
Bacillus cereus B4264,0,0,NC_011725,YP_002367340.1,TH-BGamma,TH-BGamma,7.60E-20,79.1,1,37,0,1,1
Cyanothece sp. PCC 8801,0,0,NC_011726,YP_002373637.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,7.9,14.6,79,114,1,0,1
Cyanothece sp. PCC 8801,0,0,NC_011726,YP_002373637.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,7.9,14.6,139,170,0,0,0
Escherichia fergusonii ATCC 35469,0,0,NC_011740,YP_002385118.1,Phage_P2_GpE,Phage_P2_GpE,0.00078,27.2,1,39,0,1,1
Escherichia fergusonii ATCC 35469,0,0,NC_011740,YP_002385455.1,Phage_tail_T,Phage_tail_T,0,182.8,6,108,1,0,1
Escherichia fergusonii ATCC 35469,0,0,NC_011740,YP_002385455.1,TIGR01715,TIGR01715,3.30E-37,135.3,1,106,0,1,1
Escherichia coli IAI1,0,0,NC_011741,YP_002386256.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Escherichia coli IAI1,0,0,NC_011741,YP_002386256.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Escherichia coli IAI1,0,0,NC_011741,YP_002386256.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Escherichia coli IAI1,0,0,NC_011741,YP_002386256.1,TIGR01715,TIGR01715,0,189.1,113,144,0,1,1
Escherichia coli IAI1,0,0,NC_011741,YP_002387008.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Escherichia coli IAI1,0,0,NC_011741,YP_002387008.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Escherichia coli IAI1,0,0,NC_011741,YP_002387008.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Escherichia coli IAI1,0,0,NC_011741,YP_002387008.1,TIGR01715,TIGR01715,0,189.1,113,144,0,1,1
Escherichia coli S88,0,0,NC_011742,YP_002390403.1,Phage_tail_T,Phage_tail_T,0,187.4,11,113,1,1,1
Escherichia coli S88,0,0,NC_011742,YP_002390403.1,Phage_tail_T,Phage_tail_T,0,187.4,116,144,1,1,1
Escherichia coli S88,0,0,NC_011742,YP_002390403.1,TIGR01715,TIGR01715,0,185.5,5,111,1,0,1
Escherichia coli S88,0,0,NC_011742,YP_002390403.1,TIGR01715,TIGR01715,0,185.5,113,144,0,1,1
Escherichia coli S88,0,0,NC_011742,YP_002390982.1,Phage_tail_T,Phage_tail_T,0,187.4,11,113,1,1,1
Escherichia coli S88,0,0,NC_011742,YP_002390982.1,Phage_tail_T,Phage_tail_T,0,187.4,116,144,1,1,1
Escherichia coli S88,0,0,NC_011742,YP_002390982.1,TIGR01715,TIGR01715,0,185.5,5,111,1,0,1
Escherichia coli S88,0,0,NC_011742,YP_002390982.1,TIGR01715,TIGR01715,0,185.5,113,144,0,1,1
Escherichia coli S88,0,0,NC_011742,YP_002391141.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,1,102,1,1,1
Escherichia coli S88,0,0,NC_011742,YP_002391141.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,101,137,1,1,1
Escherichia coli S88,0,0,NC_011742,YP_002391141.1,TIGR01715,TIGR01715,0,193.3,1,100,1,0,1
Escherichia coli S88,0,0,NC_011742,YP_002391141.1,TIGR01715,TIGR01715,0,193.3,103,137,0,0,0
Escherichia coli S88,0,0,NC_011742,YP_002392457.1,Phage_P2_GpE,Phage_P2_GpE,1.70E-20,80.5,1,39,0,1,1
Escherichia coli S88,0,0,NC_011742,YP_002394503.1,Phage_tail_T,Phage_tail_T,0,182.8,6,108,1,0,1
Escherichia coli S88,0,0,NC_011742,YP_002394503.1,TIGR01715,TIGR01715,3.30E-37,135.3,1,106,0,1,1
Escherichia coli ED1a,0,0,NC_011745,YP_002397070.1,Phage_tail_T,Phage_tail_T,2.70E-38,138.9,1,102,1,1,1
Escherichia coli ED1a,0,0,NC_011745,YP_002397070.1,Phage_tail_T,Phage_tail_T,2.70E-38,138.9,101,137,1,1,1
Escherichia coli ED1a,0,0,NC_011745,YP_002397070.1,TIGR01715,TIGR01715,0,190.8,1,100,1,0,1
Escherichia coli ED1a,0,0,NC_011745,YP_002397070.1,TIGR01715,TIGR01715,0,190.8,103,137,0,0,0
Escherichia coli ED1a,0,0,NC_011745,YP_002397451.1,DUF4035,DUF4035,3.50E-21,82.7,27,79,0,0,0
Escherichia coli ED1a,0,0,NC_011745,YP_002397663.1,DUF4035,DUF4035,3.10E-21,82.9,27,79,0,1,1
Escherichia coli ED1a,0,0,NC_011745,YP_002398032.1,Phage_tail_T,Phage_tail_T,1.60E-38,139.6,1,101,1,1,1
Escherichia coli ED1a,0,0,NC_011745,YP_002398032.1,Phage_tail_T,Phage_tail_T,1.60E-38,139.6,104,137,1,1,1
Escherichia coli ED1a,0,0,NC_011745,YP_002398032.1,TIGR01715,TIGR01715,0,185.1,1,100,1,0,1
Escherichia coli ED1a,0,0,NC_011745,YP_002398032.1,TIGR01715,TIGR01715,0,185.1,103,137,0,0,0
Escherichia coli ED1a,0,0,NC_011745,YP_002398420.1,DUF4035,DUF4035,3.10E-21,82.9,27,79,0,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002401900.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002401900.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002401900.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Escherichia coli 55989,0,0,NC_011748,YP_002401900.1,TIGR01715,TIGR01715,0,189.1,113,144,0,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002402162.1,Phage_tail_T,Phage_tail_T,3.80E-40,144.8,1,102,1,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002402162.1,Phage_tail_T,Phage_tail_T,3.80E-40,144.8,100,134,1,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002402162.1,TIGR01715,TIGR01715,0,186.2,1,100,1,0,1
Escherichia coli 55989,0,0,NC_011748,YP_002402162.1,TIGR01715,TIGR01715,0,186.2,102,134,0,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002402483.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,1,102,1,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002402483.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,101,137,1,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002402483.1,TIGR01715,TIGR01715,0,193.3,1,100,1,0,1
Escherichia coli 55989,0,0,NC_011748,YP_002402483.1,TIGR01715,TIGR01715,0,193.3,103,137,0,1,1
Escherichia coli 55989,0,0,NC_011748,YP_002402767.1,Phage_tail_T,Phage_tail_T,0,182.8,6,108,1,0,1
Escherichia coli 55989,0,0,NC_011748,YP_002402767.1,TIGR01715,TIGR01715,3.30E-37,135.3,1,106,0,0,0
Escherichia coli 55989,0,0,NC_011748,YP_002403179.1,Phage_P2_GpE,Phage_P2_GpE,2.70E-16,67.1,37,76,0,1,1
Escherichia coli IAI39,0,0,NC_011750,YP_002406553.1,Phage_tail_T,Phage_tail_T,0,193.8,11,113,1,1,1
Escherichia coli IAI39,0,0,NC_011750,YP_002406553.1,Phage_tail_T,Phage_tail_T,0,193.8,117,150,1,1,1
Escherichia coli IAI39,0,0,NC_011750,YP_002406553.1,TIGR01715,TIGR01715,0,190.5,5,111,1,0,1
Escherichia coli IAI39,0,0,NC_011750,YP_002406553.1,TIGR01715,TIGR01715,0,190.5,114,148,0,1,1
Escherichia coli IAI39,0,0,NC_011750,YP_002407840.1,Phage_tail_T,Phage_tail_T,2.00E-39,142.5,1,103,1,1,1
Escherichia coli IAI39,0,0,NC_011750,YP_002407840.1,Phage_tail_T,Phage_tail_T,2.00E-39,142.5,101,137,1,1,1
Escherichia coli IAI39,0,0,NC_011750,YP_002407840.1,TIGR01715,TIGR01715,0,193.1,1,100,1,0,1
Escherichia coli IAI39,0,0,NC_011750,YP_002407840.1,TIGR01715,TIGR01715,0,193.1,103,137,0,1,1
Escherichia coli IAI39,0,0,NC_011750,YP_002410736.1,Phage_tail_T,Phage_tail_T,0,182.8,6,108,1,0,1
